Name,"Sub Category","Plan","AUM","% Debt Holding","% Equity Holding","% Largecap Holding","% Midcap Holding","% Smallcap Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Concentration - Top 10 Holdings","% B Rated Bonds","% Other Holdings"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2957.3694","0","95.29113610224007","62.75657007880042","27.742046698664016","4.792519324775594","14.29621879498718","21.48617281290594","34.72050870614945","0","0"
NJ Flexi Cap Fund,"Flexi Cap Fund","Growth","2536.008467","0","97.30303767160095","55.77821057803274","24.928274894438687","16.596552199129537","12.90491353868181","20.93284939336127","39.498059727889704","0","0"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","2387.5609","0.2243461098730512","96.82747778287036","49.691080131191605","20.2012103649377","24.096558123396967","11.74397268777521","18.00020682194954","31.37597872372595","0","0"
Union Flexi Cap Fund,"Flexi Cap Fund","Growth","2294.0675","0.0558963500420105","95.97951237267432","56.01680857254636","20.125044271801052","19.83765952832687","13.56198542545065","20.70621287298652","32.79196885008833","0","0"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2003.889645","0","93.85778192682828","65.88523953153846","10.730833812225011","17.241708583064845","18.055364709269877","26.5626251012289","43.7391476016281","0","0"
360 ONE Flexicap Fund,"Flexi Cap Fund","Growth","1787.1290564024","0","96.9274713818967","60.29058636033887","19.132454375640258","17.50443064591758","12.783232996048369","20.329319216675188","35.961689346272465","0","0"
Mahindra Manulife Flexi Cap Fund,"Flexi Cap Fund","Growth","1541.9705999999999","0","98.26053103736221","61.72393948367112","23.46993515959384","13.066656394097278","15.867241567381381","22.142516854731223","33.20197544622447","0","0"
Baroda BNP Paribas Flexi Cap Fund,"Flexi Cap Fund","Growth","1199.7988","1.22521376084057","91.25657568585667","61.27708245749204","22.011015513601105","7.9684777147635","15.613459523380088","22.592879739502987","38.92666837139693","0","0"
ITI Flexi Cap Fund,"Flexi Cap Fund","Growth","1133.9856","0","93.2366601480653","54.16905646773645","19.05525078978073","20.012352890548147","16.10859961537431","23.488155405148","34.86205644939407","0","0"
TRUSTMF Flexi Cap Fund,"Flexi Cap Fund","Growth","1081.3157","0","91.89176666906803","56.73698254820491","19.5589132757436","15.06085595538843","16.53057474334276","24.8090821209754","37.79088752711165","0","0"
LIC MF Flexi Cap Fund,"Flexi Cap Fund","Growth","973.2846000000001","0","91.98543776404148","46.60122023917771","29.00428096776627","16.379936557097494","18.49074772168387","25.803439199592802","41.77529368080005","0","0"
Capitalmind Flexi Cap Fund,"Flexi Cap Fund","Growth","424.7792","7.741245334046493","85.17043678221532","43.939557304124115","26.46078244885814","12.554734318441211","11.31437226681533","17.935035425463397","33.46592771020803","0","0"
Taurus Flexi Cap Fund,"Flexi Cap Fund","Growth","305.8645","0","91.8476948122435","59.514010510429245","7.951036695704509","24.382647606109774","20.81420613315966","30.2883179879204","48.583466765380194","0","0"
Samco Flexi Cap Fund,"Flexi Cap Fund","Growth","286.4435","0","98.66976506733386","37.00074508793877","45.13745799298453","16.53156198641057","16.640565592268253","26.19378878749969","48.87389769911938","0","0"
Navi Flexi Cap Fund,"Flexi Cap Fund","Growth","260.338422","3.597722013964905","92.86541039645182","43.998408879440554","12.190051359548676","36.67695015746259","12.9445876272281","19.61039674391927","32.7875866159835","0","0"
The Wealth Company Flexi Cap Fund,"Flexi Cap Fund","Growth","227.71436235599998","0","91.33115243730695","47.693236937866935","16.480178795806705","25.83142463058174","17.785493408924122","24.27471997422014","38.6611182062229","0","0"
Unifi Flexi Cap Fund,"Flexi Cap Fund","Growth","188.007735589","0","97.72906274835735","64.21569880871373","8.313549024404562","25.199814915239052","15.08280822805986","22.5472208621206","38.167955034964315","0","0"
Old Bridge Flexi Cap Fund,"Flexi Cap Fund","Growth","152.6157","0","90.90172243091632","30.724296386282674","16.97682479587618","40.9166946782015","15.82727071985386","22.22936434455958","37.30612250246863","0","0"
Shriram Flexi Cap Fund,"Flexi Cap Fund","Growth","128.0288","0","95.24599152690651","67.46685120847812","11.343150916043896","16.43598940238446","17.86074695693469","26.15224074583219","40.99538541328201","0","0"
