name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,ageInMon,navClose,exitLoad,benchmarkIndex,riskClassification
Canara Rob Multi Asset Allocation Fund,M_CAUS,/mutualfunds/canara-rob-multi-asset-allocation-fund-M_CAUS,1.9945602901178663,0.896860986547082,10.728346456692911,,,,4.09,0.6302179622955855,0.0633,11.03754531949926,10.717063993328148,7.141941089087757,34.2932,23.354202884615404,72.56594370568973,17.59165993429882,48.99476961825772,5.979514153133211,10.656344800142657,0,1306.0041,0.95,15,11.25,1,BSE 200 - TRI,Very High
Mahindra Manulife Multi Asset Allocation Fund,M_MAAO,/mutualfunds/mahindra-manulife-multi-asset-allocation-fund-M_MAAO,2.3408992960781423,1.7191281564349519,15.758471925448685,,,,5.42,1.1461394679531807,0.1145,10.23429522146005,10.717063993328148,7.803908067116116,24.8996,23.354202884615404,55.53742776053424,7.927114281087334,37.67627601890698,9.934037460539917,22.21419308229102,0,1151.6385,0.36,29,14.2479,0.5,NIFTY 500 - TRI,Very High
Invesco India Multi Asset Allocation Fund,M_INVIP,/mutualfunds/invesco-india-multi-asset-allocation-fund-M_INVIP,1.5285599356395776,-0.3159557661927403,15.356489945155392,,,,5.29,0.9873943892893052,0.0961,11.350273124467094,10.717063993328148,8.907186363830052,20.0474,23.354202884615404,37.368821441197625,1.0119371590262365,36.34826997470271,0.00861430746867555,15.945642034271822,0,1127.1945,0.53,20,12.62,1,NIFTY 200 - TRI,Very High
Union Multi Asset Allocation Fund,M_UNUN,/mutualfunds/union-multi-asset-allocation-fund-M_UNUN,0.48939641109298937,-0.725221595487509,14.391829155060359,,,,6.5600000000000005,0.8461112692784561,0.0845,13.021858802797704,10.717063993328148,8.145209986243449,28.9355,23.354202884615404,69.54215780857506,13.620822825868217,40.54064440652962,15.380690576177207,9.295847460684712,0,978.3917,1.28,23,12.32,1,NIFTY 50 - TRI,Very High
LIC MF Multi Asset Allocation Fund,M_LIEG,/mutualfunds/lic-mf-multi-asset-allocation-fund-M_LIEG,0.590337241470161,-0.7933414535119747,8.0402543309663,,,,3.1199999999999997,0.368288582500191,0.0369,14.110850042431888,10.717063993328148,7.829307279702337,19.4768,23.354202884615404,67.73416448902756,15.08575123657221,40.051428897395944,12.596984355059414,11.96053156169569,0,963.6160000000001,1.04,18,12.2173,1,NIFTY 500 - TRI,Very High
360 ONE Multi Asset Allocation Fund,M_360P,/mutualfunds/360-one-multi-asset-allocation-fund-M_360P,1.5581229591075654,1.0947851267624211,,,,,9.8,1.4779166823606804,0.1465,12.691669039176842,10.717063993328148,12.469425929047416,28.7019,23.354202884615404,23.512393157746587,4.162627920702057,14.446995963722589,4.902769273321935,33.151043949444066,0,467.77535071441,0.6,12,12.2538,1,Gold-India,High
Samco Multi Asset Allocation Fund,M_SACM,/mutualfunds/samco-multi-asset-allocation-fund-M_SACM,-0.7293354943273894,-3.3149171270718227,3.462837837837839,,,,1.4500000000000002,-0.05397332674571765,-0.0052,12.113836952840336,10.717063993328148,12.134473813066638,22.425,23.354202884615404,68.60267108680817,36.74405812057264,15.106218357521824,16.126573323335396,11.138054874653,0,410.4846,2.49,20,12.25,1,NIFTY 50 - TRI,Very High
Groww Multi Asset Allocation Fund,M_GRMO,/mutualfunds/groww-multi-asset-allocation-fund-M_GRMO,0.07323503564105345,-2.751814774398642,,,,,0.51,-0.04286117123924637,-0.0041,12.825014905254497,10.717063993328148,8.251569188948245,23.1915,23.354202884615404,60.99773606859301,24.14179161944758,36.72044614789235,0.13549830125305629,9.147309874709693,0,403.467270766,0.95,11,10.2485,1,NIFTY 500 - TRI,Very High
Bank of India Multi Asset Allocation Fund,M_BANKD,/mutualfunds/bank-of-india-multi-asset-allocation-fund-M_BANKD,1.6267339218158778,3.545358912381851,11.954851313219008,,,,3.7800000000000002,0.9000845960241738,0.0884,8.823051472138197,10.717063993328148,8.835751078431306,22.8852,23.354202884615404,42.482198978286775,5.633103882406189,23.91191760274365,12.937177493136911,39.872588798111956,0,364.7403,1.02,30,12.8944,1,NIFTY 500 - TRI,Very High
PGIM India Multi Asset Allocation Fund,M_PGTS,/mutualfunds/pgim-india-multi-asset-allocation-fund-M_PGTS,1.539942252165545,-0.6591337099811536,,,,,4.9399999999999995,0.25875447822211695,0.025,14.334680603347953,10.717063993328148,9.77552194412145,29.1352,23.354202884615404,55.98611926752441,19.23086505436622,33.158649653871464,2.693395974587581,9.870054989055577,0,280.965,0.82,9,10.55,0.5,NIFTY 500 - TRI,Very High
