Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% Other Holdings","% Sovereign Debt Holding","% Largecap Holding","% Midcap Holding","% Poorly Rated Bonds","% Corporate Debt Holding","% B Rated Bonds","% Concentration - Top 10 Holdings"
Axis Liquid Fund,"Liquid Fund","Growth","51643.210500999994","6.23","0","0","0","0","0","0","1.4897429353273846","0","26.256472945267422"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","50367.7287578124","7.46","4.47","0","7.390141449295848","57.33739084973247","6.981490701930009","0","6.680335569981615","0","37.73931060381921"
SBI Large Cap Fund,"Large Cap Fund","Growth","48925.6946","0","6.83","0","0","80.18801384357188","14.09288297440559","0","0","0","49.514261144231455"
SBI Contra Fund,"Contra Fund","Growth","47352.1726","0","7.47","0","0","48.63406900996135","21.794265676417986","0","1.915132400915434","0","41.69440010023954"
SBI Focused Fund,"Focused Fund","Growth","46041.951100000006","0","1.9","0","0","56.72526723134459","13.463746543964339","0","0.744355510164294","0","62.99522437049808"
Nippon India Growth Mid Cap Fund,"Mid Cap Fund","Growth","45820.331900000005","0","1.7","0","0","28.08855318807655","58.46377226503572","0","0","0","24.195402864692518"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","43022.1784","6.38","0","0","0.186412220809003","0","0","0","1.307924384716756","0","27.67456734257349"
SBI Arbitrage Opportunities Fund,"Arbitrage Fund","Growth","42847.284100000004","6.62","0.07","0","0","52.24801797881045","15.3010384151746","0","1.1683853726448898","0","38.98694806656368"
Kotak Liquid Fund,"Liquid Fund","Growth","42388.801799999994","6.31","0","0","0","0","0","0","1.4767105306571797","0","27.092979306624326"
SBI Balanced Advantage Fund,"Balanced Advantage Fund","Growth","38487.8691","7.1","3.33","0","4.473906248241179","52.123574694005086","11.85339123007046","0","12.318705449914043","0","30.622423313049488"
SBI Large & Midcap Fund,"Large & Mid Cap Fund","Growth","38425.6375","0","4.96","0","0","41.05011634484917","36.96510383204441","0","0","0","35.75892865798257"
Mirae Asset Large Cap Fund,"Large Cap Fund","Growth","38239.206","0","8.92","0","0","82.4602370143355","12.528233980590498","0","0","0","47.67222520258398"
Mirae Asset Large & Midcap Fund,"Large & Mid Cap Fund","Growth","38138.081600000005","0","4.79","0","0","46.36343350985401","39.0356230266349","0","0","0","30.42840333254531"
HDFC Large Cap Fund,"Large Cap Fund","Growth","38121.2733","0","10.23","0","0.494674977186557","78.7997632282655","17.62885606446939","0","0","0","51.73705071388578"
Nippon India Liquid Fund,"Liquid Fund","Growth","37902.756499999996","6.34","0","0","0.1150027175587233","0","0","0","0.870846161374385","0","20.81022761720317"
