Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% A Rated Bonds","% Equity Holding","% Smallcap Holding","% Debt Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
Motilal Oswal Nifty Midcap 150 Index Fund,"Index Fund","Growth","3408.0978999999998","0","1.52","0","100.11478250081963","5.5592651842542455","0","7.534804091161821","10.94787505957502","-0.11478250081959201"
Franklin India Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","3399.218213682","0","7.62","0","96.16706557562037","16.79683024619771","0","10.72113518352934","16.485527465005","3.83293442437959"
DSP Banking & PSU Debt Fund,"Banking & PSU Fund","Growth","3387.7908","7.52","0.7","81.70695486864184","0","0","0","12.89694747385228","19.02598590208108","2.515491806636942"
Aditya Birla SL MNC Fund,"Thematic Fund - MNC","Growth","3352.8921","0","13.99","0","99.31623209706036","43.04275106258267","0","13.36455473768452","20.535244781661778","0.6837679029396744"
Parag Parikh Conservative Hybrid Fund,"Conservative Hybrid Fund","Growth","3344.4903000000004","7.44","1.28","11.121225258150693","11.077876350844845","0.73605535647689","72.70584698660959","14.54587863507931","22.48176052416716","3.97384916918432"
Mirae Asset Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","3341.5981","6.38","2.37","11.221196827948884","67.65799573563325","8.399298527252576","13.642185156856542","21.44480809945399","28.39230127644617","5.715268392090602"
Kotak Floating Rate Fund,"Floating Rate Fund","Growth","3329.3034000000002","7.81","0.37","81.20006125005008","0","0","0","17.20120791634671","27.39828397736296","3.33967760342899"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","3320.4741999999997","0","5.87","0","96.46948619567651","5.371043087761382","0","14.01584147228128","20.96260528089633","2.8179770226794756"
Edelweiss Aggressive Hybrid Fund,"Aggressive Hybrid Fund","Growth","3308.903","6.85","3","12.702004059359023","73.69124185888877","8.119834598529911","13.263069661365451","15.960929779088021","23.234213149679892","8.285606048638476"
Aditya Birla SL Nifty SDL Apr 2027 Index Fund,"Index Funds - Debt Oriented","Growth","3289.0602000000003","5.86","0.03","0","0","0","0","14.813422995419781","22.23590495546417","3.17890502581862"
