name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,age,navClose,exitLoad,benchmarkIndex,riskClassification,subsector
Sundaram Multi Asset Allocation Fund(IDCW),M_SUDUT,/mutualfunds/sundaram-multi-asset-allocation-fundidcw-M_SUDUT,-0.6726902463590174,-3.158151270141636,8.129781989307556,,,,2.29,0.3762258364333848,0.0379,13.017096450437785,10.717063993328148,7.6562751439587124,28.2604,23.354202884615404,69.4471911218297,13.102870569128164,45.58848386039504,10.755836692306481,10.216267816076943,0,3268.2164470000002,0.7,,13.5106,1,,Moderately High,Multi Asset Allocation Fund
Sundaram Multi Asset Allocation Fund(IDCW),M_SUDUI,/mutualfunds/sundaram-multi-asset-allocation-fundidcw-M_SUDUI,-0.6726902463590174,-3.158151270141636,8.129781989307556,,,,2.29,0.3762258364333848,0.0379,13.017096450437785,10.717063993328148,7.6562751439587124,28.2604,23.354202884615404,69.4471911218297,13.102870569128164,45.58848386039504,10.755836692306481,10.216267816076943,0,3268.2164470000002,0.7,,13.5106,1,NIFTY 500 - TRI,Moderately High,Multi Asset Allocation Fund
Sundaram Multi Asset Allocation Fund,M_SUDUO,/mutualfunds/sundaram-multi-asset-allocation-fund-M_SUDUO,-0.6726902463590174,-3.1574571180767115,8.129781989307556,,,,2.29,0.3762258364333848,0.0379,13.017096450437785,10.717063993328148,7.6562751439587124,28.2604,23.354202884615404,69.4471911218297,13.102870569128164,45.58848386039504,10.755836692306481,10.216267816076943,0,3268.2164470000002,0.7,,13.5106,1,NIFTY 500 - TRI,Moderately High,Multi Asset Allocation Fund
HSBC Multi Asset Allocation Fund(IDCW),M_HSUE,/mutualfunds/hsbc-multi-asset-allocation-fundidcw-M_HSUE,1.7258291724132844,-0.21414670496227323,13.072527688738408,,,,7.01,0.9334210625435876,0.0898,13.347286214058647,10.717063993328148,9.540579227698913,26.9341,23.354202884615404,76.19657557870512,30.025937442885766,41.10666510683956,5.063973028979793,10.635075146491149,0,3040.5078999999996,1.16,,13.7927,1,BSE 200 - TRI,Very High,Multi Asset Allocation Fund
HSBC Multi Asset Allocation Fund(IDCW Payout),M_HSUO,/mutualfunds/hsbc-multi-asset-allocation-fundidcw-payout-M_HSUO,1.7258291724132844,-0.21414670496227323,13.072527688738408,,,,7.01,0.9334210625435876,0.0898,13.347286214058647,10.717063993328148,9.540579227698913,26.9341,23.354202884615404,76.19657557870512,30.025937442885766,41.10666510683956,5.063973028979793,10.635075146491149,0,3040.5078999999996,1.16,,13.7927,1,BSE 200 - TRI,Very High,Multi Asset Allocation Fund
HSBC Multi Asset Allocation Fund,M_HSAO,/mutualfunds/hsbc-multi-asset-allocation-fund-M_HSAO,1.7260591072802167,2.373700469531114,16.004000590251017,,,,7.01,0.9334210625435876,0.0898,13.347286214058647,10.717063993328148,9.540579227698913,26.9341,23.354202884615404,76.19657557870512,30.025937442885766,41.10666510683956,5.063973028979793,10.635075146491149,0,3040.5078999999996,1.16,,14.1504,1,BSE 200 - TRI,Very High,Multi Asset Allocation Fund
Edelweiss Multi Asset Allocation Fund,M_EDMU,/mutualfunds/edelweiss-multi-asset-allocation-fund-M_EDMU,1.9426516912163676,4.844552896987663,6.576251672000133,7.732432643969944,,,0.52,0.8603983263582049,0.0975,2.6081816424474735,10.717063993328148,2.5192843983957034,11.8571,23.354202884615404,22.111512158154213,7.048415268486462,15.063096889667758,0,52.015460764586706,0,2863.1443,0.81,,12.589,0.25,CRISIL Short Term Bond Index,Low,Multi Asset Allocation Fund
Edelweiss Multi Asset Allocation Fund(IDCW),M_EDMA,/mutualfunds/edelweiss-multi-asset-allocation-fundidcw-M_EDMA,-1.3207440218315507,1.488261307704473,3.164524813328586,6.570363372265509,,,0.52,0.8588108755715662,0.0973,2.6081816424474735,10.717063993328148,2.5192843983957034,11.8571,23.354202884615404,22.111512158154213,7.048415268486462,15.063096889667758,0,52.015460764586706,0,2863.1443,0.81,,12.186,0.25,CRISIL Short Term Bond Index,Low,Multi Asset Allocation Fund
Edelweiss Multi Asset Allocation Fund(IDCW),M_EDMN,/mutualfunds/edelweiss-multi-asset-allocation-fundidcw-M_EDMN,-1.3207440218315507,1.488261307704473,3.164524813328586,6.570363372265509,,,0.52,0.8588108755715662,0.0973,2.6081816424474735,10.717063993328148,2.5192843983957034,11.8571,23.354202884615404,22.111512158154213,7.048415268486462,15.063096889667758,0,52.015460764586706,0,2863.1443,0.81,,12.186,0.25,,Low,Multi Asset Allocation Fund
Franklin India Multi Asset Allocation Fund,M_FRANS,/mutualfunds/franklin-india-multi-asset-allocation-fund-M_FRANS,-0.03618632337909096,-0.7918765319040096,,,,,3.73,0.5444956198170927,0.0538,12.444026716461197,10.717063993328148,7.278461856738689,25.4712,23.354202884615404,68.8829379822148,3.853579497437279,52.46010722877145,12.569251256006087,13.228771753570726,0,2825.726998299,0.43,,11.0499,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Franklin India Multi Asset Allocation Fund(IDCW),M_FRAKM,/mutualfunds/franklin-india-multi-asset-allocation-fundidcw-M_FRAKM,-0.03618632337909096,-0.7918765319040096,,,,,3.73,0.5444956198170927,0.0538,12.444026716461197,10.717063993328148,7.278461856738689,25.4712,23.354202884615404,68.8829379822148,3.853579497437279,52.46010722877145,12.569251256006087,13.228771753570726,0,2825.726998299,0.43,,11.0499,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Franklin India Multi Asset Allocation Fund(IDCW Payout),M_FRAKS,/mutualfunds/franklin-india-multi-asset-allocation-fundidcw-payout-M_FRAKS,-0.03618632337909096,-0.7918765319040096,,,,,3.73,0.5444956198170927,0.0538,12.444026716461197,10.717063993328148,7.278461856738689,25.4712,23.354202884615404,68.8829379822148,3.853579497437279,52.46010722877145,12.569251256006087,13.228771753570726,0,2825.726998299,0.43,,11.0499,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
