Name,Ticker,"Sub-Sector","Market Cap","5Y Avg EBITDA Margin","Return on Equity","5Y Avg Net Profit Margin","EBITDA Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","Cost of Goods Sold","Cash Flow Margin","ROCE"
Yunik Managing Advisors Ltd,YUNIKM,"Business Support Services","13.14473368",,"-19.753086419753036",,,"-22.22222222222226","-15.269497366699067","-12.21374045801527","-12.045354386646325",,"-19.96526257762203","-188.79503105590055",,"0","-71.42857142857142"
Neopolitan Pizza and Foods Ltd,NPFL,"Restaurants & Cafes","13.107","6.633528914267366","1.8535262206148053","2.8870135659209604","1.9309537741369123","1.419176185531308","8.939129792988595","1.3976478609169758","4.661552493821164","0.7996879266627558","6.711755984386062","-10.14069544311856","56.43","-11.351667641895848","2.4356775300171347"
Citi Port Financial Services Ltd,CITIPOR,"Diversified Financials","13.1006","10.67873303167421","0.9615384615384608","6.952404893581367","11.111111111111107","0.9584664536741208","0.7800562130949344","0.6166495375128463","0.5268397272649847","8.333333333333327","0.7772216211895293","150.18602312719952",,"-11.111111111111112","1.2779552715654947"
Continental Chemicals Ltd,CONTCHM,"Software Services","13.100425","32.747542665385836","9.147609147609149","20.236820057585895","37.57961783439491","9.48616600790514","6.583313054680848","7.573149741824441","5.299217136429","28.025477707006374","7.064932753946726","-5.625965283859358","0.01","-6.369426751592357","10.116731517509729"
Datiware Maritime Infra Ltd,DATIWARE,"Shipbuilding","13.1","-8.561106472187188",,"-84.58060856477898","65.90909090909092",,,"-6.378454996456413","-14.268889834037486","-102.27272727272725",,"-7.50065523037968","0","15.909090909090912","1.1816838995568693"
Market Creators Ltd,MKTCREAT,"Investment Banking & Brokerage","13.083","0.16933052204242074","1.5939990623534948","-0.6434118672409795","2.800466744457412","1.010701545778836","0.20420490013575368","0.42526579111945023","-0.14725145305574722","1.9836639439906676","-0.5641530684353799","-13.63758668715079",,"1.633605600933489","1.0688836104513078"
Dolphin Kitchen Utensils and Appliances Ltd,DKUAL,"Commodities Trading","13.05884435",,"17.755443886097144",,"13.537906137184125","9.336148252404405",,"10.696266397578203",,"10.740072202166075",,"0",,"-31.7937701396348","9.951573849878944"
Global Longlife Hospital and Research Ltd,GLHRL,"Hospitals & Diagnostic Centres","13.0515","-1948.4227068587084","0.7587253414264","-3418.8200445664233","-9800","1.8663680477790183","8.008750548258877","0.5831753899985392","3.1010713694896017","-17100","7.2466897021106575","12.376100026920902",,"220.00000000000003","-3.6594473487677366"
Garware Marine Industries Ltd,GARWAMAR,"Shipbuilding","13.020043472","10.363235244244503","2.9644950017235434","10.186244093802026","14.159292035398225","2.3942093541202674","1.262427234299768","2.803129074315515","1.1666851868002204","13.274336283185834","1.2058588688523266","2.741784569648118",,"0","0.8506113769271662"
Niraj Ispat Industries Ltd,NIRAJISPAT,"Textiles","13.02","30.766272294477346","9.824046920821118","19.3978709096751","41.00418410041841","7.15421303656598","8.402196123437383","7.542921474810023","6.4306625781251965","28.03347280334729","7.026266482489191","-18.969086946702657","2.0700000000000003","-86.19246861924687","9.618484685652879"
Edelweiss BSE Capital Markets & Insurance ETF,ECAPINSURE,"Equity","13.0017776",,,,,,,,,,,,,,
