Name,Ticker,"Sub-Sector","Market Cap","1W Change in On Balance Volume","RSI – 14D","% Price above 1M EMA","Beta","Relative Volume","Volatility","% From Upper Bollinger Band","ADX Rating – Trend Strength","1W Change in AD Line","Stochastic %K","William %R"
Trom Industries Ltd,TROM,"Renewable Energy Equipment & Services","50.06604537","-1.0628465804066543","12.3620309050773","-12.452846896614677",,"0.5723202170963365","68.70940296375944","-30.949903939739297","40.9618787707142","-8.026315789473617","9.302325581395369","-90.69767441860463"
ICICI Pru Nifty Financial Services Ex-Bank ETF,FINIETF,"Equity","50.0543064","10.693744325729227","55.4809843400447","1.0632970200042502","1.26533916853943","0.8822645741482301","20.843229872782594","-2.2404288428548003","21.7662891204161","0.21196650531160446","37.59398496240588","-62.40601503759412"
Happy Square Outsourcing Services Ltd,WHITEFORCE,"Employment Services","49.997724","-0.22197558268590456","12.9251700680272","-6.50095392977279",,"0.29900332225913623","94.01443180588159","-22.562554570567002","40.691596016696",,"0","-100"
Shreyas Intermediates Ltd,SHREYASI,"Specialty Chemicals","49.8811456","-0.06482792092242677","47.0198675496689","-2.2647850839727313","0.233674648184864","0.5103571018911489","68.3859987343534","-7.4314792524646","23.0003390194638","-60.06241897225403","30.526315789473685","-69.47368421052632"
Gujarat Poly Electronics Ltd,GUJARATPOLY,"Electronic Equipments","49.8807","-0.2292305058977508","36.7426347971095","-4.798135690841921","1.22507179895119","1.209076711939804","53.86012603381812","-12.6966457852974","20.1027021441063","-14.488567499100716","3.400000000000034","-96.59999999999997"
IFL Enterprises Ltd,IFL,"Textiles","49.801735719999996","-2.7483288732236226","28.5714285714286","-6.392464988086233","0.145480870338118","0.8092614055839353","60.19115621218997","-19.8607865545741","26.7216175524653","-4.786339863265225","11.111111111111125","-88.88888888888887"
Prudential Sugar Corp Ltd,PRUDMOULI,"Sugar","49.603576","-0.2506084472724118","37.9464285714286","-3.4826690878916433",,"0.6048790484322116","53.71466846905875","-16.5047308490239","32.3049494669718","-0.19795707180574953","28.90855457227141","-71.0914454277286"
Celebrity Fashions Ltd,CELEBRITY,"Apparel & Accessories","49.508581382","0.08512121500860602","37.0212765957447","-1.1453338295368987","0.778162604315192","0.6260917596257258","52.4581518956985","-8.096297338032","18.6628343986255","-0.36930568679682874","24.731182795698906","-75.2688172043011"
Ravi Kumar Distilleries Ltd,RKDL,"Alcoholic Beverages","49.344","0.07626910107815607","35.9259259259259","-2.681723920231771","0.610816364397937","0.5674819606297192","44.31182958776575","-8.762819616722501","26.2578565088274","0.18826767763538907","17.00680272108843","-82.99319727891157"
Caspian Corporate Services Ltd,CASPIAN,"Business Support Services","49.27272","-0.19784016281494438","42.2928709055877","-0.2090501335972661","0.975728472644721","0.6070869125225286","57.8844912271626","-6.2959503512473995","40.9987413849053","-1.2962878898578147","38.10810810810812","-61.89189189189188"
Dangee Dums Ltd,DANGEE,"FMCG - Foods","49.272","-1.5556917591995432","17.6470588235294","-5.683999309084586","0.654508099147816","0.447697884538427","58.012764235605815","-23.270135234698","30.2026823279073","-12.340079564615344","13.888888888888907","-86.1111111111111"
Mantra Capital Ltd,MANTRA,"Specialized Finance","49.248","1.19832168656502","53.1026252983294","2.6254522008994696","0.220642024279884","0.4663939745824454","62.0150533430042","-9.854205837808","32.6225406346322","101.76708319360309","53.68663594470049","-46.313364055299516"
