Name,Ticker,"Sub-Sector","Market Cap","Expense Ratio","Tracking Error","EBITDA","Net Income","Payout Ratio","Earnings Per Share","Taxes & Other Items","Dividend Per Share","PBIT","Interest & Other Items","Total Revenue","Depreciation & Amortization","PBT","Power & Fuel Cost","Raw Materials"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","138497.5204452",,,"4241.98","2672.0299999999997","0.2647439869317862","177.53","941.04","47","3856.1099999999997","243.04","29120.04","385.87","3613.0699999999997",,
Bank of Baroda Ltd,BANKBARODA,"Public Banks","136291.25022754498",,,"24944.690000000002","19253.320000000003","0.22146951537258988","38.38","5691.37","8.5","24944.690000000002",,"156825.44","0","24944.690000000002",,
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","134383.227270925",,,"1835.9400000000005","1206.2700000000004","0.1683937823834197","7.72","421.91","1.3","1640.3500000000006","12.17","12664.17","195.59","1628.1800000000005",,
Tata Motors Passenger Vehicles Ltd,TMPV,"Four Wheelers","133027.987495",,,"105010","82390",,"-0.61","9","3","85226","2827","425837","19784","82399",,
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","132857.96276268",,,"14442.150000000001","10590.330000000002","0.11372682815876264","263.79","3714.51","30","14304.840000000002",,"31263.41","137.31","14304.840000000002",,
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","132127.29026845",,,"16703.87000000001","3747.19000000001","0.21331058020477814","11.72","2888.7999999999997","2.5","11892.78000000001","5256.79","66131.57","4811.09","6635.99000000001",,
Siemens Ltd,SIEMENS,"Conglomerates","131636.3834682",,,"2994.399999999998","2104.1999999999975","0","59.14","594.8000000000001","0","2714.0999999999976","15.1","18351.6","280.3","2698.9999999999977",,
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130536.99476802",,,"2057.1699999999983","1912.3199999999983","0.23675310033821875","8.87","144.85","2.1","2057.1699999999983",,"100355.41","0","2057.1699999999983",,
Vedanta Ltd,VEDL,"Metals - Diversified","130322.7578055",,,"37369","17391","2.697395693135935","16.68275815613984","12351","45","32559","2817","92623","4810","29742",,
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","129459.55326788999",,,"7260.66","5232.61","0.032268473701193935","61.98","1744.1599999999999","2","6976.7699999999995",,"31542.46","283.89","6976.7699999999995",,
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","128732.0607972",,,"3738.369999999999","2533.489999999999","0.8604297394942003","105.18","755.29","90.5","3401.539999999999","112.76","19375.62","336.83","3288.779999999999",,
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","127443.59871",,,"45601.09999999998","25843.449999999975","0","60.49","8947.789999999999","0","37744.729999999974","2953.49","460037.66","7856.37","34791.239999999976",,
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","126934.398778",,,"7015.220000000005","7009.170000000005","0","5.36","0","0","7009.170000000005",,"27338.06","6.05","7009.170000000005",,
Tata Capital Ltd,TATACAP,"Consumer Finance","126753.78394476001",,,"7099.9000000000015","4846.100000000001","0.04846938775510204","11.76","1716.28","0.57","6562.380000000001",,"31587.48","537.52","6562.380000000001",,
Jindal Steel Ltd,JINDALSTEL,"Iron & Steel","124448.96914407",,,"9101.239999999998","3367.379999999998","0.060386473429951695","33.12","1045.77","2","5929.789999999998","1516.64","53553.14","3171.45","4413.149999999998",,
Siemens Energy India Ltd,ENRIN,"Power Generation","123203.4499098",,,"1629.7000000000003","1100.1000000000004","0.0647523870557222","61.77378444068524","387.4","4","1526.7000000000003","39.2","7932","103","1487.5000000000002","1680.8",
