Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Hist Op. Cash Flow Growth","1Y Historical EPS Growth","1Y Forward EBITDA Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical Revenue Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","3Y Historical Dividend Growth","5Y Historical Revenue Growth","5Y Historical EPS Growth","1Y Historical EBITDA Growth","1Y Forward EPS Growth"
Sreeleathers Ltd,SREEL,"Footwear","436.40251116400003",,"-7.590647238224337","-15.903165735567786",,,"1.4662084765177719","-3.58649807950151","-1.1406866123608528",,"5.017178786145027","-3.124686398505583","-12.060828526481243",
RMC Switchgears Ltd,RMC,"Electrical Components & Equipments","436.23759075",,"100.5141388174807","109.0224928426986",,,"84.14620085322262",,,,,,"65.72384428223832",
Lehar Footwears Ltd,LEHAR,"Footwear","436.047577335",,"1003.8043478260869","56.55024367384723",,,"41.71514543630892","24.024456334333145","26.179046030184928",,"23.431633792823202","160.678377918651","40.04237288135575",
HRS Aluglaze Ltd,HRS,"Building Products - Others","435.872435625",,"97.94520547945207","184.29251980519916",,,"56.284760845383765",,,,,,"181.15183246073298",
Euro Panel Products Ltd,EUROBOND,"Metals - Aluminium","435.806",,"56.833333333333336","26.12859097127218",,,"6.783925920334166","22.733814458345634","-0.9900898568608096",,"24.30477211337574","26.1892875693341","26.062738199941364",
Orbit Exports Ltd,ORBTEXP,"Textiles","434.91544856",,"-19.611137782045116","-16.588073950807075",,,"3.5552682611506237","32.940896373289405","3.2215995227654615",,"26.617115804196967","70.0585034386806","-13.154048523823423",
Maruti Interior Products Ltd,SPITZE,"Cables","434.5176",,"-3.591160220994472","42.89950954264617",,,"15.591256254938113",,,,,,"44.8630136986302",
Sealmatic India Ltd,SEALMATIC,"Cables","434.455300125",,"63.10299869621904","61.686991869918494",,,"40.21843003412968","24.48355882304285",,,"25.07889646786299","24.985742975066817","55.024813895781506",
Alufluoride Ltd,ALUFLUOR,"Commodity Chemicals","434.4277751",,"-65.46598056032019","2.4915062287655303",,,"14.233467234246655",,,"44.22495703074083",,,"-0.25217147660412015",
Radiant Cash Management Services Ltd,RADIANTCMS,"Business Support Services","432.807266736",,"6.893156080748412","3.9106145251394993",,,"10.556788328614775",,,,,,"13.31580752085943",
Mangalam Global Enterprise Ltd,MGEL,"Commodity Chemicals","432.0473916",,"-198.0431510286001","80.35259427210403",,,"48.13150261407255","39.95806198514407",,"-1.0431776900465928","28.738279452182212","36.41963537524897","37.01683291770482",
Veritas (India) Ltd,VERITAS,"Commodities Trading","432.04315",,"-48.16341157498657","-39.22397645169936",,,"4.896545554462151","0.7012172878944956","-27.590982354660333","0","14.486321560343196","-1.4719731975890271","-25.838271840948313",
Swiss Military Consumer Goods Ltd,SWISSMLTRY,"Investment Banking & Brokerage","431.89693241000003",,"-132.2259136212625","1.1567074937295518",,,"16.162894972833254",,,,,,"9.590235396687046",
Rama Phosphates Ltd,RAMAPHO,"Fertilizers & Agro Chemicals","431.855942904",,"876.2645914396887","285.216474707603",,,"19.698084926997026","6.9071749385302805","8.901292344492063",,"9.009063743887303","20.138427520145807","88.07961041710772",
Xtglobal Infotech Ltd,XTGLOBAL,"IT Services & Consulting","430.93946416499995",,"854.2857142857143","-21.664623261251304",,,"7.11433756805806","31.49001288687241","-0.047835467962487055",,"3.975421897709208","16.23939067899549","-10.206337509211608",
Plastiblends India Ltd,PLASTIBLEN,"Specialty Chemicals","430.12126",,"-76.72096689437731","9.77191265330521",,,"1.496429837443669","-1.7291396476640686","-34.65929250131987","-9.143970358393016","6.657419829058142","-0.3522721685091823","7.589576547231257",
Divine Hira Jewellers Ltd,DIVINEHIRA,"Precious Metals, Jewellery & Watches","429.901945",,"152.08333333333334","-0.020624100720100354",,,"146.2517759144218",,,,,,"22.61640798226177",
True Colors Ltd,TRUECOLORS,"Electronic Equipments","428.743494",,"-39.67741935483871","-19.255850202429084",,,"29.049348429822697",,,,,,"13.193943763518499",
Kisan Mouldings Ltd,KISAN,"Building Products - Pipes","427.558309635",,"-431.3851080864692","-319.13343284023347",,,"-7.4172814257541635",,,,"3.637149635246817",,"-87.83783783783794",
Hindustan Motors Ltd,HINDMOTORS,"Four Wheelers","427.125572771",,"-76.65573770491805","-38.74901652242328",,,"-19.164456233421756","191.67702272700535",,,"31.97245076182447",,"-26.184926184926205",
Workmates Core2cloud Solution Ltd,WORKMATES,"IT Services & Consulting","425.67446",,"-47.18162839248435","416.82483847810477",,,"33.868438047790384",,,,,,"22.350472193074452",
Suraj Ltd,SURAJLTD,"Iron & Steel","425.4594688",,"-122.07251347378735","-43.76080737396539",,,"-11.450158624144269",,,,,,"-34.310850439882685",
GP Eco Solutions India Ltd,GPECO,"Renewable Energy Equipment & Services","424.489104",,"466.6666666666667","9.84006921415435",,,"78.430806951756",,,,,,"44.65153970826628",
A-1 Ltd,A1L,"Commodity Chemicals","424.12",,"-190.46391752577318","63.835616438353846",,,"3.434045245052264","10.390805423520067",,,"18.16741344523576","16.978011072219058","22.94921874999969",
Banswara Syntex Ltd,BANSWRAS,"Textiles","422.013131552",,"-45.787700084246","40.792002365688326",,,"4.890615696990985","7.433631850955447","-18.00816908295341","-30.663872564936533","11.23476578715521","26.379057604527524","15.895490939738878",
