Name,Ticker,"Sub-Sector","Market Cap","1M Average Volume","1M Return","1Y Return vs Nifty","Daily Volume","Close Price","1M Return vs Nifty","1W Change in Volume","3M Average Volume","1W Return","6M Return vs Nifty","1D Return","% Away From 52W High","6M Return","1Y Return","1W Return vs Nifty","1D Change in Volume","% Away From 52W Low","5Y CAGR","Face value"
Indian Sucrose Ltd,INDSUCR,"Sugar","124.10439854200001","6638.954545454545","-13.333333333333334","-25.393131202737614","2060","71.42","-10.43633212052062","-46.98919197117859","6419.6551724137935","-7.142857142857143","-6.0472596877244555","-1.5846768637177782","69.42033043965274","-15.718668869483118","-29.545230344283322","-8.195281905591745","67.75244299674267","16.489969009949434","16.208525038909592","10"
Taylormade Renewables Ltd,TRL,"Renewable Energy Equipment & Services","123.6673368","10874.772727272728","-6.915887850467295","-58.54423593698831","5377","99.75","-4.018886637654582","-13.98176291793313","15203.741379310344","-5.052430886558638","-12.67191506892253","-0.20010005002501535","216.0902255639098","-22.343324250681192","-62.69633507853402","-6.10485564929324","-42.2200730711369","13.610478359908896","72.29374340246142","10"
Ace men engg works Ltd,ACEMEN,"Diversified Financials","123.359304","1336.8181818181818","-1.5257731958762928","42.627019408289684","589","95.52","1.3712280169364213","-14.76121562952243","810.8392857142857","-2.5306122448979633","8.635354478070308","1.953250080051231","12.164991624790634","-1.0360547036883547","38.47492026674397","-3.5830370076325657","-83.44575604272063","79.04404873477037","12.083093963508063","10"
K I C Metaliks Ltd,KAJARIR,"Iron & Steel","123.242112","9355.59090909091","16.363636363636374","2.620618710462331","11902","34.72","19.26063757644909","48.45952351253586","8502.224137931034","8.978328173374631","32.66113642228292","-2.059238363892818","20.967741935483875","22.98972724052426","-1.5314804310833783","7.9259034106400295","139.95967741935485","72.30769230769232","-3.387982195900452","2"
Ganges Securities Ltd,GANGESSECU,"Diversified Financials","123.155390657","3004.090909090909","0.4159869494290417","-19.47219516951577","311","123.11","3.312988162241756","-80.84975369458128","3809.655172413793","-5.132156892964484","-9.79084386024056","-0.6295907660020995","55.14580456502316","-19.462253041999222","-23.62429431106148","-6.184581655699086","-83.07943416757345","19.165618042783848","11.953856460169355","10"
M P K Steels (1) Ltd,MPKSTEELS,"Iron & Steel","123.13868700999998","28072.727272727272","-0.4526748971193392","49.00239854274332","6400","120.95","2.4443263156933748","-66.66666666666667","28744.827586206895","0.8336807002917882","57.62247951815011","0.7916666666666691","26.33319553534519","47.951070336391446","44.85029940119761","-0.21874406244281397","100","66.48313833448039",,"10"
Sotac Pharmaceuticals Ltd,SOTAC,"Pharmaceuticals","122.9865","2400","-4.051724137931037","-8.21010558286374","1200","111.3","-1.1547229251183233","-66.66666666666667","9646.153846153846","4.999999999999998","0.49148262117114605","0","36.882300089847256","-9.179926560587516","-12.36220472440945","3.9475752372653963","0","11.299999999999999",,"10"
Dhoot Industrial Finance Ltd,DHOOTIN,"Commodities Trading","122.44284","1863.6363636363637","4.72972972972973","-25.43918151240524","188","193.8","7.626730942542444","-93.70605959156345","1708.0172413793102","2.7851458885941645","-4.5953459609088885","4.19354838709678","57.37874097007223","-14.26675514266755","-29.59128065395095","1.7327211258595623","-25.691699604743082","46.596066565809394","37.10672471267249","10"
Lorenzini Apparels Ltd,LAL,"Apparel & Accessories","122.124741557","37354.5","-8.593750000000002","-40.13361514416857","6764","7.02","-5.696748787187287","-81.53476563566379","61426.68965517241","1.0071942446043078","-15.328590818241338","-0.7072135785007172","93.73219373219375","-25","-44.285714285714285","-0.04523051813029433","-87.44501160092807","26.258992805755387",,"1"
Norben Tea and Exports Ltd,NORBTEAEXP,"Tea & Coffee","121.8191117","11982.954545454546","8.305693753454953","117.98565985095911","15979","78.37","11.202694966267668","27.160592073850072","6118.5","2.190637632025045","27.91220580215698","-0.9228824273071932","26.770447875462544","18.240796620398317","113.8335607094134","1.1382128692904427","91.73266138708904","156.95081967213116","65.56245571025907","10"
TCI Industries Ltd,TCIIND,"Commodities Trading","121.707990565","49.142857142857146","-10.39307128580946","12.533348143302618","129","1357.15","-7.496070072996746","514.2857142857143","52.96774193548387","-7.560137457044673","2.946323271105747","-4.0883392226148345","17.967800169472792","-6.725085910652915","8.38124900175691","-8.612562219779276","514.2857142857143","14.818104906937402","8.049258171348539","10"
SBI Nifty 1D Rate Liquid ETF - IDCW,LIQUIDSBI,"Debt","121.5826","18234.045454545456","0.0010000100000990915","4.152099141545709","5165","1000","2.8980012228128134","-51.227573182247404","19020.46551724138","0.0010000100000990915","9.671409181758662","0.0010000100000990915","2.998999999999996","0","0","-1.051424752734503","-51.383659638554214","3.068344619317065",,"0"
Anik Industries Ltd,ANIKINDS,"Commodities Trading","121.365994278","6020.636363636364","-3.6571932143644057","-56.81371358718767","1578","43.73","-0.7601920015516916","-65.04983388704319","21618.44827586207","-1.2866817155756214","-30.791490750167824","3.773137161841472","167.32220443631377","-40.462899931926486","-60.96581272873338","-2.3391064783102236","-34.413965087281795","34.55384615384614","27.853876873602257","10"
Supra Pacific Financial Services Ltd,SUPRAPFSL,"Specialized Finance","121.179895956","42805.27272727273","1.2244897959183703","-8.591080099443545","140960","24.66","4.121491008731084","20.204320055940716","56427.91055331067","1.265822784810136","-0.772310622503328","0.4071661237785074","60.86179647673693","-10.44371980426199","-12.743179240989255","0.21339802207553382","114.0590120119664","10.040160642570273","5.719408998860387","10"
Party Cruisers Ltd,PARTYCRUS,"Hotels, Resorts & Cruise Lines","121.0981213","19681.81818181818","18.128654970760234","12.754249679180116","8000","101","21.02565618357295","-27.272727272727273","14830.188679245282","3.061224489795918","47.08637516815322","-6.090190609019059","12.722772277227712","37.414965986394556","8.602150537634408","2.008799727061316","166.66666666666666","60.19032513877875","56.8764026255707","10"
Sellwin Traders Ltd,SELLWIN,"Commodities Trading","121.03570866400001","345720.3181818182","-26.00297176820208","55.68584147283408","99500","4.94","-23.105970555389366","-67.68620217070779","663022.5862068966","-1.1904761904761827","-46.37841288229828","1.2295081967213217","191.29554655870442","-56.04982206405694","51.533742331288366","-2.2429009532107846","-40.267505523004516","62.5","10.12487333956733","2"
B & A Ltd,BNALTD,"Agro Products","120.9","464.77777777777777","-13.962264150943394","-25.095379524086567","150","364.8","-11.06526293813068","14900","318.28846153846155","1.0526315789473715","-7.5605817428017446","2.760563380281693","52.93311403508771","-17.231990924560407","-29.247478665632276","0.00020681621276930073","154.23728813559322","12.66213712168005","11.257221869882672","10"
Kemp and Company Ltd,KEMP,"Retail - Speciality","120.858177","14.142857142857142","11.046598183712964","-13.694291929751756","7","1118.85","13.943599396525679","16.666666666666668","93.1304347826087","-1.8552631578947447","0.6348238159049959","0","39.424408991375095","-9.036585365853666","-17.846391071297464","-2.907687920629347","0","28.855234366002524","24.70377235606889","10"
Thrive Future Habitats Ltd,THRIVE,"FMCG - Personal Products","120.723331365","5817.181818181818","-11.918367346938771","51.96914695859353","5557","106.65","-9.021366134126056","279.0586630286494","4298.051724137931","-1.1452130096197892","8.430553546977674","-2.1110601193207867","37.83403656821378","-1.2408556347809883","47.817047817047815","-2.1976377723543914","246.23052959501558","48.125000000000014","3.3271572116857273","10"
Indian Card Clothing Company Ltd,INDIANCARD,"Industrial Machinery","120.67602944000001","2194.909090909091","-5.529975349983715","-36.53413242510635","1524","203.12","-2.632974137171001","13.140311804008908","3432.4655172413795","0.059113300492613076","-10.59551917937971","-0.50453098212099","89.05080740448996","-20.266928361138373","-40.68623156665206","-0.9933114622419891","-4.271356783919598","32.758169934640534","4.718560616684608","10"
Valencia Nutrition Ltd,VALENCIA,"Alcoholic Beverages","120.612387","8500","10.218863171154153","60.61164317373167","7500","70","13.115864383966867","-37.5","5867.64705882353","7.6923076923076925","5.299824482305106","0","38.7142857142857","-4.371584699453556","56.45954403218596","6.639882929573091","400","56.45954403218596","51.88540011641929","10"
LIC MF Nifty 8-13 yr G-Sec ETF,LICNETFGSC,"Debt","120.56832286800001","42901.86363636364","-1.6984402079722771","4.222670771750366","5463","28.36","1.198561004840437","75.60270009643202","93608.1551724138","-0.5261311820413964","8.34921015601058","-0.6306937631394525","5.95909732016926","-1.322199025748083","0.07057163020465622","-1.5785559447759985","-75.50773369199732","3.428154631655711","5.286608246387536","0"
Auto Pins (India) Ltd,AUTOPINS,"Iron & Steel","120.4190082","96.82352941176471","19.2090395480226","103.20870291513062","2","211","22.106040760835313","0","68.31372549019608","9.895833333333334","17.077873931058743","0","28.0094786729858","7.406464749300082","99.05660377358491","8.843408570598731","0","113.88748099341103","40.45559056043495","10"
