Name,Ticker,"Sub-Sector","Market Cap","Lot Size","Fair Value","Future Close Price","1D Change in Future OI","Rollover Cost","Highest Put OI Strike","1D Change in Future Volume","Basis","Put Call Ratio","Cash & Carry Profit","1W Change in Put OI","Future Open Interest","Highest 1D OI Change CE Strike","Highest 1D OI Change PE Strike","Highest 1W OI Change CE Strike","1W Change in Future Volume","1W Change in Future OI","Fair Value Spread","Future Volume","Highest 1W OI Change PE Strike","Highest Call OI Strike","1 D Change in Call OI","1D Change in Put OI","Call Open Interest","1W Change in Call OI","Percentage Rollover","Calendar Spread","Put Open Interest"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","158343.3195575",,,,,,"30000",,,"1.085995085995086",,"36.43729903536978",,"39000","35500","35000",,,,,"33000","38000","0.0130678282514","38.3231190507237","244200","-8.6163345495369",,,"265200"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","155068.6680648",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","154955.92446694098","2350","233.93695940600568","235.25","-8.31468933776528","0.7013815090329399","250",,"0.5800000000000125","0.5427324312527281","1363.000000000029","0.10197509660798","134826550","222.5","237.5","225","-0.1872843765401676","-15.72089607051047","1.313040593994316","19403950","217.5","260","0.0069149403732895","0.40915208613727","80757750","2.03081856239422",,"1.6500000000000057","43829850"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","149904.2542848","125","4367.435366065191","4417.6","-6.11939020212402","-0.21731256791018","4300",,"-11.599999999999454","0.4465108885709744",,"7.29564553093964","2740375","4800","4500","4500","-0.1749325236167341","-0.26386424639461","50.16463393480899","613625","4200","4500","0.0110896817743491","-7.78069599474721","786375","8.18572656921754",,"-9.600000000000364","351125"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","149674.14","200","5353.112177060026","5425","-3.85336144296087","0.4516129032258","5200",,"25.5","0.7234297108673978","5100","31.25904486251809","3283600","6100","5600","5400","0.6698240866035183","-3.7970233212234796","71.88782293997428","741200","5300","5500","0.0338074623788908","12.53101736972703","1003000","13.20541760722346",,"24.5","725600"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148147.37965488","500","1447.2178083226402","1461.9","-2.77968428277282","0.49250974758873994","1500",,"6.300000000000182","0.4782067247820672","3150.000000000091","-14.83870967741936","7082500","1540","1320","1640","-0.7327365728900256","-9.68502932925273","14.682191677359924","418000","1500","1500","-0.0612179827824423","-0.63514467184191","4416500","-23.023965141612198",,"7.199999999999818","2112000"
Vodafone Idea Ltd,IDEA,"Telecom Services","147129.84153135802","71475",,"13.57","-13.574919413538518","0.73691967575534","11",,"-0.0099999999999997","0.5439877937930139",,"12.55373455131649","4752515700","14","15","18","-0.0554942020982882","-21.7980382471244","13.57","734905950","13","14","0.0206083095884963","-2.1831766972155697","2201715900","18.56812933025404",,"0.0999999999999996","1197706575"
Trent Ltd,TRENT,"Retail - Apparel","145746.30413539","100","4103.338628321901","4118","-6.48487112439297","-0.43953375424964003","4000",,"18.100000000000364","0.3852555734083149","1810.0000000000364","13.97853455639321","6258500","4250","3500","4400","0.1451612903225807","-4.78762246698716","14.661371678099385","733800","3700","4500","-0.0587012004915398","3.69632057303104","3983200","3.7210634585839597",,"-18.100000000000364","1534550"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","145233.596214",,,,,,"1700",,,"0.5861111111111111",,"-10.68227091633465",,"1920","1640","1800",,,,,"1800","1900","-0.0778966400482145","1.9613416714042","1683000","-1.17875020184078",,,"986425"
DLF Ltd,DLF,"Real Estate","144384.93181098","825","573.6883614878865","581.45","-11.01791513430974","0.6793361424026","550",,"-1.849999999999909","0.8779444919536655",,"-6.16535105941005","34133550","500","520","650","0.1149097815764481","-14.62413074430986","7.761638512113564","5811300","560","620","-0.0086319845857417","6.92103768225715","10611975","-7.89115646258503",,"3.949999999999932","9316725"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","142207.4674182","2625","408.5638616139837","410.5","-26.990349819059112","0.65773447015834","400",,"2.1000000000000227","0.8285137283547458","5512.50000000006","-7.08365458750963","88971750","425","377.5","425","1.225090814737935","-23.8148755872238","1.936138386016296","45076500","395","420","0.004748953071709","3.5219585525609403","61091625","11.546203987730049",,"2.6999999999999886","50615250"
Power Finance Corporation Ltd,PFC,"Specialized Finance","141689.8690656","1300","414.0771681636789","432.25","-6.32723428887825","0.12724117987276","450",,"2.8999999999999773","0.5740072202166066","3769.9999999999695","1.36192407997681","48384700","400","510","440","-0.1945611319920407","-12.01182033096927","18.17283183632111","4735900","460","450","-0.0296178343949045","1.79454845280822","23766600","-7.629345189975741",,"0.5500000000000114","13642200"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","141015.4034801","600","1432.780624979131","1437.9","-9.19108115115374","-0.20168300994506","1380",,"-1.099999999999909","0.6351159757273295",,"36.30720545277508","16812000","1200","1460","1460","0.6064446831364125","-13.88794984480162","5.119375020869029","4500000","1440","1460","-0.0037290242386575","-8.204918032786889","10579800","27.21304379193421",,"-2.900000000000091","6719400"
ABB India Ltd,ABB,"Heavy Electrical Equipments","139965.4816875","125","6503.901334255709","6566.5","-2.78841820639927","-0.06852965811315","6500",,"-38.5","0.5120570464318763",,"18.20809248554913","2157125","6600","6600","6600","-0.2905292479108635","-1.30961912387052","62.598665744290884","637750","5500","7000","-0.0387714524905817","18.13386914479466","2296375","-19.50311103321356",,"-4.5","1175875"
Tata Motors Ltd,TMCV,"Trucks & Buses","139818.12223281",,,,,,,,,,,,,,,,,,,,,,,,,,,,
