Name,Ticker,"Sub-Sector","Market Cap","Percentage Buy Reco’s","Percentage Upside","No. of analysts with buy reco","Percentage Sell Reco's","Percentage Hold Reco's","Total no. of analysts"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","73578.22110408","83.33333333333333","13.379848142827825","15","0","16.666666666666668","18"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","73479.87937601999","50","-18.08096392623613","6","25","25","12"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","72909.3165114","63.63636363636363","17.813141683778234","14","13.636363636363637","22.727272727272727","22"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","72102.566228063","92.3076923076923","23.644664257180903","12","0","7.6923076923076925","13"
Federal Bank Ltd,FEDERALBNK,"Private Banks","71464.5918168","76.66666666666667","12.10762331838566","23","0","23.333333333333332","30"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","70403.3293131","82.6086956521739","0.1813236627379873","19","0","17.391304347826086","23"
Biocon Ltd,BIOCON,"Biotechnology","70076.08411625","73.33333333333333","-1.7795239195747605","11","6.666666666666667","20","15"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","69897.94264728001","27.586206896551722","-0.23964777350498548","8","20.689655172413794","51.724137931034484","29"
L&T Finance Ltd,LTF,"Consumer Finance","69062.740248435","73.6842105263158","17.903138037366233","14","10.526315789473685","15.789473684210526","19"
Yes Bank Ltd,YESBANK,"Private Banks","69048.1649132","10","-13.636363636363637","1","70","20","10"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","68836.39147959","46.15384615384615","14.942528735632177","6","30.76923076923077","23.076923076923077","13"
General Insurance Corporation of India,GICRE,"Insurance","67790.016","80","24.223602484472057","4","20","0","5"
Adani Total Gas Ltd,ATGL,"Gas Distribution","67154.40366798","0",,"0","0","0",
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","67135.5724611","81.81818181818181","-2.269861286254729","9","9.090909090909092","9.090909090909092","11"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","66863.8417321","70.37037037037037","8.211330362826226","19","14.814814814814815","14.814814814814815","27"
Swiggy Ltd,SWIGGY,"Online Services","66806.21177307","76.92307692307692","44.333918470840636","20","7.6923076923076925","15.384615384615385","26"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","65001.51225","55","9.831693184953554","11","15","30","20"
Indian Overseas Bank,IOB,"Public Banks","64490.31922345501","0",,"0","0","0",
Bank of India Ltd,BANKINDIA,"Public Banks","63359.478691122","40","14.96730617230726","2","20","40","5"
CPSE ETF,CPSEETF,"Equity","63157.683627809995","0",,"0","0","0",
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","62754.3604683","100","18.060225659418663","6","0","0","6"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","62418.99210175","94.44444444444444","14.593479631008998","17","0","5.555555555555555","18"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","61886.49641995","33.333333333333336","-15.24839798801075","1","33.333333333333336","33.333333333333336","3"
Info Edge (India) Ltd,NAUKRI,"Online Services","61033.06009555","77.77777777777777","55.74422923852481","14","5.555555555555555","16.666666666666668","18"
UNO Minda Ltd,UNOMINDA,"Auto Parts","61002.53698584","70.58823529411765","18.799697084437703","12","11.764705882352942","17.647058823529413","17"
Jindal Stainless Ltd,JSL,"Iron & Steel","60720.98227968001","85.71428571428571","15.81518420516995","12","0","14.285714285714286","14"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","60570.99523125","100","14.285714285714286","3","0","0","3"
Coforge Ltd,COFORGE,"IT Services & Consulting","60298.892147119994","84.375","14.454824217357203","27","6.25","9.375","32"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","59776.74159696","95.23809523809524","35.10592304366624","20","0","4.761904761904762","21"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","59439.74045436","38.095238095238095","-3.9077514413837324","8","23.80952380952381","38.095238095238095","21"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","59413.482462215004","38.888888888888886","18.52326419476255","7","22.22222222222222","38.888888888888886","18"
Berger Paints India Ltd,BERGEPAINT,"Paints","59285.41297614","60","8.17189497492379","12","15","25","20"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","59147.17589279","75","13.727177721767994","18","0","25","24"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","58717.316151171995","47.05882352941177","9.954552118457714","8","11.764705882352942","41.1764705882353","17"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","58318.709339","75","17.325560211331755","6","12.5","12.5","8"
Tube Investments of India Ltd,TIINDIA,"Cycles","57502.621851209995","80","14.510754316873673","4","0","20","5"
Vishal Mega Mart Ltd,VMM,"FMCG - Foods","57111.440230484","100","22.80989028983134","16","0","0","16"
