Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Universus Photo Imagings Ltd,UNIVPHOTO,"Health Care Equipment & Supplies","463.69814543999996","3.9500000000000006","3.75","3.44","-23.89","8.07","-21.83","-22.57","30.64","-22.6","-22.6"
Pajson Agro India Ltd,PAJSON,"FMCG - Foods","463.09662275","219.09",,,,,,,,,
Aries Agro Ltd (CN),ARIES,"Fertilizers & Agro Chemicals","461.39394771999997","38.929999999999964","63.95","311.32","17.24000000000001","202.5","13.26","28.580000000000013","173.92","25.80000000000001","23.84000000000001"
Vikram Thermo (India) Ltd,VIKRAMTH,"Pharmaceuticals","460.49002725","30.650000000000006","11.44","10.16","10.969999999999997","34.48","3.5","15.599999999999998","18.88","14.839999999999998","14.709999999999997"
Mirae Asset NYSE FANG+ ETF,MAFANG,"Equity","459.73124442",,,,,,,,,,
Rushil Decor Ltd,RUSHIL,"Building Products - Laminates","459.1973233","42.449999999999974","67.88","115.45","5.289999999999997","217.34","0.19","23.909999999999997","193.43","15.229999999999997","7.139999999999997"
Kalyani Cast-Tech Ltd,KALYANI,"Industrial Machinery","458.83395","3.5100000000000002","3.49","4.28",,,,,,,
Brahmaputra Infrastructure Ltd,BRAHMINFRA,"Construction & Engineering","457.475076","165.47","4.72","4.28","15.119999999999994","92.55","5.21","21.569999999999993","70.98","21.229999999999993","17.159999999999993"
Suditi Industries Ltd,SUDTIND-B,"Textiles","456.88069104","107.89",,,"3.8900000000000023","31.85","0.45","5.720000000000002","26.13","4.560000000000002","4.3400000000000025"
ATMASTCO Ltd,ATMASTCO,"Iron & Steel","456.8497243","10.009999999999998","14.8","24.7",,,,,,,
Cropster Agro Ltd,CROPSTER,"Agro Products","456.12","4.939999999999992","0.06","0.62","4.210000000000004","54.06","0.05","4.3700000000000045","49.69","4.3700000000000045","4.3700000000000045"
Tara Chand Infralogistic Solutions Ltd,TARACHAND,"Business Support Services","455.9232216","181.4",,,"8.55","90.03","1.08","31.57","58.46","14.469999999999999","11.59"
Suratwwala Business Group Ltd,SBGLP,"Real Estate","455.56498788000005","15.120000000000003","3.09","3.22","11.119999999999997","42.23","0.62","15.629999999999995","26.6","15.199999999999996","15.089999999999996"
Systematic Industries Ltd,SYSTEMATIC,"Cables","454.77574333","17.010000000000012","14.45","13.66",,,,,,,
Mishtann Foods Ltd,MISHTANN,"FMCG - Foods","454.75264506599996","179.9500000000001","3.04","3.53","81.53000000000002","336.24","0.75","82.51000000000002","253.73","82.39000000000001","82.01000000000002"
TechD Cybersecurity Ltd,TECHD,"Software Services","454.0197931","8.4","7.25","2.19",,,,,,,
Sattrix Information Security Ltd,SATTRIX,"IT Services & Consulting","453.93516","-4.81","10.26","4.11","-0.7099999999999994","10.72","0","-0.5299999999999994","11.25","-0.6899999999999994","-0.8099999999999994"
Shiv Aum Steels Ltd,SHIVAUM,"Commodities Trading","453.165328","-0.329999999999945","2.01","3.61","0.8999999999999886","181.97","0.68","3.1999999999999886","178.77","3.0999999999999885","1.1199999999999886"
S J Logistics (India) Ltd,SJLOGISTIC,"Logistics","452.676648","0.30999999999998273","6.07","12.47","18.11999999999999","157.23","11.85","28.50999999999999","128.72","26.99999999999999","23.28999999999999"
JD Cables Ltd,JDCABLES,"Cables","451.36050668","-6.230000000000013","0.85","4.71",,,,,,,
Maxvolt Energy Industries Ltd,MAXVOLT,"Batteries","450.6048246","261.16",,,,,,,,,
Globe International Carriers Ltd,GICL,"Logistics","450.50526211199997","143.16","2.48","1.41","4.369999999999999","47.5","0.42","10.36","37.14","10.28","9.1"
Digispice Technologies Ltd,DIGISPICE,"Telecom Equipments","449.950052414","451.07",,,"2.699999999999989","114.63","0.11","6.949999999999989","107.68","5.109999999999989","4.589999999999989"
Neetu Yoshi Ltd,NEETUYOSHI,"Auto Parts","449.061782","-1.079999999999996","3.76","2.36","4.449999999999999","19.34","3.13","6.58","12.76","6.18","5.6499999999999995"
Sarveshwar Foods Ltd,SARVESHWAR,"Packaged Foods & Meats","448.31203471599997","-148.66999999999996","5.85","33.77","9.219999999999988","328.58","0.08","18.639999999999986","309.94","18.349999999999987","12.489999999999988"
Megamont Ltd,VRWODAR,"Wood Products","447.52358397","1.3877787807814457e-17","0.01","0.12","3.2700000000000045","316.88","1.45","4.6200000000000045","312.26","4.6200000000000045","3.9400000000000044"
Shah Metacorp Ltd,SHAH,"Iron & Steel","447.03148733","-0.5600000000000025","1.49","2.18","0.6799999999999988","51.92","0.01","2.969999999999999","48.95","1.9399999999999988","0.9299999999999988"
Prakash Pipes Ltd,PPL,"Building Products - Pipes","447.01011790600006","21.649999999999977","40.07","32.39","10.109999999999978","181.14","4.23","17.70999999999998","163.43","13.94999999999998","13.409999999999979"
Veljan Denison Ltd,VELJAN,"Industrial Machinery","446.1975","29.25999999999999","18.64","7.24","5.0600000000000005","37.68","11.24","9.2","28.48","7.569999999999999","7.43"
Nisus Finance Services Co Ltd,NISUS,"Specialized Finance","445.9235175","1.290000000000001","10.57","12.03","20.510000000000016","229.34","8.59","32.390000000000015","196.95","26.530000000000015","26.530000000000015"
SRG Housing Finance Ltd,SRGHFL,"Consumer Finance","444.72212896999997","153.60999999999999",,,"9.249999999999996","57.33","5.89","13.019999999999996","44.31","11.589999999999996","11.589999999999996"
Zodiac Energy Ltd,ZODIAC,"Renewable Energy Equipment & Services","444.1827753","20.07999999999998","9.34","3.54","5.090000000000005","138","2.68","14.150000000000006","123.85","11.430000000000005","6.900000000000005"
ICICI Prudential Silver ETF,SILVERIETF,"Silver","443.466746861",,,,,,,,,,
NDL Ventures Ltd,NDLVENTURE,"Real Estate","441.232921584","3.67",,,"0.15999999999999998","1.27","0.05","0.21999999999999997","1.05","0.21999999999999997","0.21999999999999997"
Cybertech Systems and Software Ltd,CYBERTECH,"IT Services & Consulting","439.96867086899994","218.41",,,"7.0600000000000005","67.22","2.27","10.600000000000001","56.62","9.71","9.55"
Neptune Petrochemicals Ltd,NEPTUNE,"Building Products - Ceramics","439.4779","-0.8300000000000325","3.46","32.58",,,,,,,
Shree Rama Newsprint Ltd,RAMANEWS,"Paper Products","438.28795707200004","85.68","1.46","6.11","-10.15","10.5","-0.69","0.1999999999999993","10.3","-0.8600000000000008","-10.15"
S & S Power Switchgear Ltd,S&SPOWER,"Electrical Components & Equipments","438.125025","0.6200000000000004","2.54","2.34","3.5099999999999953","80.27","2.84","5.8799999999999955","74.39","5.269999999999995","4.4599999999999955"
Kothari Products Ltd,KOTHARIPRO,"Commodities Trading","436.61574495","120.46999999999993","5.32","14.08","9.91","191.13","1.67","15.5","175.63","14.72","13.15"
Sreeleathers Ltd,SREEL,"Footwear","436.40251116400003","5.229999999999991","6.1","11.26","7.530000000000002","63.45","3.25","10.310000000000002","53.14","9.980000000000002","9.890000000000002"
RMC Switchgears Ltd,RMC,"Electrical Components & Equipments","436.23759075","4.479999999999997","12.91","23","0.6100000000000023","26.28","0.9","3.2200000000000024","23.06","2.4700000000000024","0.6000000000000023"
Lehar Footwears Ltd,LEHAR,"Footwear","436.047577335","25.830000000000013","12.11","19.89","2.1399999999999944","57.16","1.21","5.669999999999995","51.49","4.099999999999994","2.8899999999999944"
HRS Aluglaze Ltd,HRS,"Building Products - Others","435.872435625","1.5299999999999994","3.03","2.09",,,,,,,
Euro Panel Products Ltd,EUROBOND,"Metals - Aluminium","435.806","19.35999999999998","26.97","32.23","5.699999999999994","127.69","2.33","13.319999999999993","114.37","11.039999999999994","7.6399999999999935"
Orbit Exports Ltd,ORBTEXP,"Textiles","434.91544856","180.88",,,"0.9900000000000051","47.56","0.37","5.760000000000005","41.8","1.850000000000005","1.420000000000005"
Maruti Interior Products Ltd,SPITZE,"Cables","434.5176","3.0300000000000007","3.03","4.13",,,,,,,
Sealmatic India Ltd,SEALMATIC,"Cables","434.455300125","9.680000000000009","16.71","11.31",,,,,,,
Alufluoride Ltd,ALUFLUOR,"Commodity Chemicals","434.4277751","7.30000000000001","6.52","6.21","9.430000000000001","59.74","26.17","15.170000000000002","44.57","12.770000000000001","12.200000000000001"
Radiant Cash Management Services Ltd,RADIANTCMS,"Business Support Services","432.807266736","186.35999999999999","85.2","47.8","10.939999999999994","126.03","1.03","17.489999999999995","108.54","14.599999999999994","12.489999999999995"
Mangalam Global Enterprise Ltd,MGEL,"Commodity Chemicals","432.0473916","3323.44",,,"12.489999999999995","1065.27","0.38","25.50999999999999","1039.76","24.879999999999992","17.029999999999994"
Veritas (India) Ltd,VERITAS,"Commodities Trading","432.04315","15.880000000000141","20.95","16.77","10.889999999999977","988.4","4.06","25.399999999999977","963","14.879999999999978","11.649999999999977"
Swiss Military Consumer Goods Ltd,SWISSMLTRY,"Investment Banking & Brokerage","431.89693241000003","-1.189999999999988","8.75","12.91","2.00999999999999","72.71","0.08","3.2299999999999898","69.48","3.11999999999999","2.78999999999999"
Rama Phosphates Ltd,RAMAPHO,"Fertilizers & Agro Chemicals","431.855942904","805.59",,,"5.369999999999996","219.73","1.52","10.659999999999997","209.07","8.769999999999996","6.849999999999996"
Xtglobal Infotech Ltd,XTGLOBAL,"IT Services & Consulting","430.93946416499995","56.26000000000001","143.85","10.85","2.9300000000000086","92.98","0.22","9.240000000000009","83.74","7.630000000000009","6.670000000000009"
Plastiblends India Ltd,PLASTIBLEN,"Specialty Chemicals","430.12126","735.64",,,"13.859999999999996","214.28","5.33","22.659999999999997","191.62","18.979999999999997","18.319999999999997"
Divine Hira Jewellers Ltd,DIVINEHIRA,"Precious Metals, Jewellery & Watches","429.901945","872.91",,,,,,,,,
True Colors Ltd,TRUECOLORS,"Electronic Equipments","428.743494","254.94",,,,,,,,,
Kisan Mouldings Ltd,KISAN,"Building Products - Pipes","427.558309635","252.16",,,"-3.3200000000000003","80.76","-0.28","-1","81.76","-2.23","-3.3200000000000003"
Hindustan Motors Ltd,HINDMOTORS,"Four Wheelers","427.125572771","1.1600000000000001","1.43","2.74","0.06999999999999984","1.16","0","0.06999999999999984","1.09","0.06999999999999984","0.06999999999999984"
Workmates Core2cloud Solution Ltd,WORKMATES,"IT Services & Consulting","425.67446","121.78",,,,,,,,,
Suraj Ltd,SURAJLTD,"Iron & Steel","425.4594688","189.73",,,"2.520000000000006","46.27","1.37","3.970000000000006","42.3","5.130000000000006","3.930000000000006"
GP Eco Solutions India Ltd,GPECO,"Renewable Energy Equipment & Services","424.489104","219.51999999999998","2.72","7.21","2.289999999999993","57.98","2.72","3.8899999999999935","54.09","3.7299999999999933","3.199999999999993"
A-1 Ltd,A1L,"Commodity Chemicals","424.12","330.78",,,"4.360000000000008","145.47","0.09","7.210000000000008","138.26","6.450000000000008","5.8100000000000085"
Banswara Syntex Ltd,BANSWRAS,"Textiles","422.013131552","1236.62",,,"11.49","370.5","3.36","39","331.5","25.82","15.32"
Kriti Nutrients Ltd,KRITINUT,"Packaged Foods & Meats","421.17018912","878.08",,,"6.359999999999989","256.83","1.27","10.919999999999987","245.91","9.469999999999988","9.279999999999989"
Unifinz Capital India Ltd,UCIL,"Specialized Finance","420.98948835","80.50999999999999","13.43",,"27.06000000000001","147.55","6.11","38.41000000000001","109.14","38.17000000000001","38.17000000000001"
Omax Autos Ltd,OMAXAUTO,"Auto Parts","420.898643627","436.92",,,"17.350000000000005","182.04","8.11","29.370000000000005","152.67","25.220000000000006","21.220000000000006"
Manaksia Steels Ltd,MANAKSTEEL,"Iron & Steel","419.87665835","12.610000000000067","21.34","10.57","9.600000000000012","320.56","1.47","18.110000000000014","302.45","15.140000000000013","12.640000000000013"
LT Elevator Ltd,LTELEVATOR,"Industrial Machinery","417.754599","85.02",,,,,,,,,
Tera Software Ltd,TERASOFT,"IT Services & Consulting","417.458709375","201.34",,,"7.2299999999999915","75.8","5.77","10.789999999999992","65.01","10.579999999999991","8.669999999999991"
Connplex Cinemas Ltd,CONNPLEX,"Theatres","416.953","112.59",,,"9.609999999999998","41.48","192.16","13.619999999999997","27.86","12.889999999999997","12.849999999999998"
Pakka Limited,PAKKA,"Paper Products","416.9385756","104.96999999999996","49.02","27.31","7.08","99.77","1.57","17.14","82.63","12.97","10.68"
Nahar Capital and Financial Services Ltd,NAHARCAP,"Asset Management","416.81209663000004","1.4299999999999997","7.04","1.62","13.080000000000002","17.64","7.81","14.830000000000002","2.8099999999999996","14.550000000000002","14.550000000000002"
Singer India Ltd,SINGERIND,"Home Electronics & Appliances","416.059235379","-1.3300000000000027","45.32","66.45","5.3900000000000166","162.83","0.87","8.670000000000016","154.16","7.480000000000016","7.3100000000000165"
Shalimar Paints Ltd,SHALPAINTS,"Specialty Chemicals","415.709709948","23.279999999999973","79.28","101.52","-26.650000000000016","132.1","-3.18","-14.420000000000016","146.52","-19.600000000000016","-26.650000000000016"
Valiant Laboratories Ltd,VALIANTLAB,"Pharmaceuticals","415.707875","231.08",,,"1.7500000000000038","92.15","0.32","4.980000000000004","87.17","2.050000000000004","1.0400000000000038"
Saakshi Medtech and Panels Ltd,SAAKSHI,"Electrical Components & Equipments","413.94492","0.669999999999997","12.86","8.92",,,,,,,
Rubfila International Ltd,RUBFILA,"Commodity Chemicals","412.487487929","7.409999999999997","39.29","22.66","5.500000000000002","148.41","1.01","10.310000000000002","138.1","7.490000000000002","7.460000000000002"
GEE Ltd,GEE,"Industrial Machinery","411.70927837199997","339.08",,,"3.5500000000000016","113.29","1.32","8.920000000000002","104.37","8.150000000000002","6.330000000000002"
Yaap Digital Ltd,YAAP,"Advertising","409.65881","103.2","21.91","11.55","0","0","0","0","0","0","0"
Nimbus Projects Ltd,NIMBSPROJ,"Real Estate","409.151488565","179.25","7.72","32.58","-40.96","-14.86","-21.34","-41.94","27.08","-42.41","-44.86"
Solarium Green Energy Ltd,SOLARIUM,"Renewable Energy","408.8433","20.269999999999985","12.97","11.6",,,,,,,
KD Green Industries Ltd,MANBRO,"FMCG - Foods","408.741983","0.019999999999999962","0.11","0.29","0.5099999999999985","45.79","0.08900952401907004","3.1499999999999986","42.64","2.3699999999999983","1.9899999999999984"
Shera Energy Ltd,SHERA,"Metals - Diversified","408.62588184000003","1552.52",,,"9.829999999999995","464.87","4.02","27.879999999999995","436.99","26.229999999999997","16.169999999999995"
Gokul Refoils and Solvent Ltd,GOKUL,"Packaged Foods & Meats","406.968445","84.94999999999999","20.59","47.52","5.240000000000062","1082.43","0.53","17.430000000000064","1065","14.690000000000063","7.290000000000063"
Mirza International Ltd,MIRZAINT,"Footwear","406.1753841","54.09000000000001","86.27","56.98","-7.310000000000005","119.14","-0.53","-0.37000000000000455","119.51","-8.040000000000004","-9.930000000000005"
Foods and Inns Ltd,FOODSIN,"FMCG - Foods","406.114794834","-26.970000000000084","48.8","78.08","0.4300000000000137","152.71","0.05","19.110000000000014","133.6","12.880000000000013","1.1900000000000137"
Artemis Electricals and Projects Ltd,AEPL,"Electrical Components & Equipments","405.1735566","46.21","0.66","1.96","0.8099999999999996","4.31","0.03","1.3499999999999996","2.96","1.0499999999999996","0.9999999999999996"
Forbes & Company Ltd,FORBESCO,"Conglomerates","405.13917676","68.54",,,"-1.97","18.59","-1.55","0.5899999999999999","18","-0.6700000000000002","-0.8500000000000001"
Liberty Shoes Ltd,LIBERTSHOE,"Footwear","405.126","608.96",,,"0.5799999999999998","180.96","0.35","13.219999999999999","167.74","4.93","1.1099999999999999"
Mahamaya Lifesciences Ltd,MAHALIFE,"Fertilizers & Agro Chemicals","404.9065","3.180000000000005","5.19","8.56","5.529999999999998","120.02","3.11","11.659999999999997","108.36","10.659999999999997","7.379999999999997"
Patil Automation Ltd,PATILAUTOM,"Industrial Machinery","404.77584","142.14",,,,,,,,,
Albert David Ltd,ALBERTDAVD,"Pharmaceuticals","404.26682027","328.13",,,"-21.429999999999996","61.03","-37.56","-22.08","83.11","-24.799999999999997","-25.229999999999997"
Sigma Solve Ltd,SIGMA,"IT Services & Consulting","403.70012144000003","67.37",,,"5.369999999999999","23.86","0.52","7.02","16.84","6.819999999999999","6.77"
SK Minerals & Additives Ltd,SKM,"Specialty Chemicals","403.5528","-5.509999999999989","3.23","11.2",,,,,,,
Mawana Sugars Ltd,MAWANASUG,"Sugar","402.9036992","79.76000000000002","88.12","29.18","3.929999999999988","368.15","1.01","13.949999999999989","354.2","5.979999999999989","5.459999999999988"
Vishal Fabrics Ltd,VISHAL,"Textiles","402.72918611399996","3.270000000000019","30.63","1.92","7.920000000000007","424.16","0.34","29.430000000000007","394.73","21.790000000000006","10.770000000000007"
Nikhil Adhesives Ltd,NIKHILAD,"Commodity Chemicals","401.725592","70.82999999999998","24.05","21.19","3.5199999999999907","133.88","0.76","8.11999999999999","125.76","6.24999999999999","4.73999999999999"
Asgard Alcobev Ltd,ASGARD,"Alcoholic Beverages","401.170012","-1.1000000000000034","1.05","0.42","0.07000000000000127","19.75","0.01","1.1900000000000013","18.56","0.7400000000000013","0.060000000000001275"
Dreamfolks Services Ltd,DREAMFOLKS,"Logistics","401.015521136","1145.4200000000003","42.57","14.84","-7.8600000000000065","59.12","-1.48","-8.470000000000006","67.59","-9.440000000000007","-9.680000000000007"
Coastal Corporation Ltd,COASTCORP,"Packaged Foods & Meats","399.58615418","10.570000000000007","22.99","79.49","7.090000000000012","308.14","1.06","22.610000000000014","285.53","17.400000000000013","7.410000000000013"
Tolins Tyres Ltd,TOLINS,"Tires & Rubber","399.197228424","-28.330000000000016","12.14","8.84","10.489999999999998","93.67","2.68","14.579999999999998","79.09","13.479999999999999","12.709999999999999"
Purple Finance Ltd,PURPLEFIN,"Consumer Finance","397.974127848","54.7",,,"0.010000000000003617","17.17","0.01","1.0000000000000036","16.169999999999998","0.4200000000000036","0.4200000000000036"
Fabtech Technologies Cleanrooms Ltd,FABCLEAN,"Construction & Engineering","397.79219898","197.84",,,,,,,,,
Mazda Ltd,MAZDA,"Industrial Machinery","397.7766","17.970000000000024","29.25","19.45","8.730000000000004","49.24","4.36","12.630000000000003","36.61","11.570000000000002","11.290000000000003"
Kanoria Chemicals and Industries Ltd,KANORICHEM,"Specialty Chemicals","397.6093303","110.90000000000002","234.72","62.41","3.5499999999999807","268.21","0.81","22.269999999999982","245.94","13.389999999999981","5.729999999999981"
Take Solutions Ltd,TAKE,"IT Services & Consulting","396.46312","0.33000000000000096","1.1","6.05","1.1099999999999999","1.46","0.07","1.1099999999999999","0.35","1.1099999999999999","1.1099999999999999"
Shivalik Rasayan Ltd,SHIVALIK,"Fertilizers & Agro Chemicals","396.200431575","2.819999999999961","54.02","19.69","2.700000000000001","83.21","1.71","11.5","71.71","6.44","4.130000000000001"
Raghuvir Synthetics Ltd,RAGHUSYN,"Textiles","395.25","42.92","7.44","2.37","-4.3300000000000045","49.08","-1.12","-1.9100000000000037","50.99","-3.6800000000000037","-4.220000000000004"
Vraj Iron and Steel Ltd,VRAJ,"Iron & Steel","395.230723477","18.100000000000005","11.08","4.99","1.1099999999999892","148.73","0.33","7.47999999999999","141.25","2.0399999999999894","1.3599999999999892"
CLN Energy Ltd,CLN,"Batteries","394.69155","-13.300000000000002","11.02","11.22",,,,,,,
RBM Infracon Ltd,RBMINFRA,"Construction & Engineering","394.112145","199.56","66.49","9.41","12.870000000000003","153.54","12.74","19.090000000000003","134.45","18.320000000000004","17.700000000000003"
Shreeji Global FMCG Ltd,SHETHJI,"Agro Products","393.8618","1.29","2.94","6.97",,,,,,,
Trident Techlabs Ltd,TECHLABS,"IT Services & Consulting","392.79858472","19.849999999999994","6.42","12.5",,,,,,,
Lords Chloro Alkali Ltd,LORDSCHLO,"Commodity Chemicals","392.758472727","4.160000000000007","18.79","10.29","4.599999999999995","94.11","1.83","10.879999999999995","83.23","6.719999999999995","4.1299999999999955"
Harrisons Malayalam Ltd,HARRMALAYA,"Agro Products","391.66060491","60.39999999999999","190.65","31.2","7.629999999999999","144.8","4.14","12.469999999999999","132.33","10.659999999999998","7.629999999999999"
Vishnusurya Projects and Infra Ltd,VISHNUINFR,"Construction & Engineering","391.04767219","199.54","13.74","5.98","3.929999999999998","56.57","1.6","12.799999999999997","43.77","10.489999999999997","8.539999999999997"
Akme Fintrade India Ltd,AFIL,"Consumer Finance","389.19596351999996","94.08",,,"12.280000000000001","42.6","0.29","13.96","28.64","13.690000000000001","13.690000000000001"
Sinclairs Hotels Ltd,SINCLAIR,"Hotels, Resorts & Cruise Lines","389.01214","4.700000000000002","12.6","5.8","5.78","20.71","1.12","10.14","10.57","8.17","7.37"
Indogulf Cropsciences Ltd,IGCL,"Fertilizers & Agro Chemicals","388.44823756799997","9.710000000000008","46.06","63.8","3.859999999999996","118.8","0.77","14.409999999999997","104.39","11.689999999999996","7.379999999999996"
Manaksia Ltd,MANAKSIA,"Metals - Diversified","387.961576","26.510000000000066","34.98","9.41","14.570000000000006","201.07","2.22","23.930000000000007","177.14","22.340000000000007","20.740000000000006"
B&B Triplewall Containers Ltd,BBTCL,"Packaging","387.72396971999996","79.63","45.32","0","4.93999999999999","155.64","9.64","22.72999999999999","132.91","12.44999999999999","6.53999999999999"
Autoline Industries Ltd,AUTOIND,"Auto Parts","387.097545931","745.35",,,"30.409999999999968","307.76","6.7","46.90999999999997","260.85","40.819999999999965","30.449999999999967"
Gretex Industries Ltd,GRETEX,"Apparel & Accessories","384.3176971","54.74",,,"-1.020000000000001","10.02","0","-1.7800000000000011","11.8","-1.990000000000001","-2.040000000000001"
Mirae Asset Nifty 50 ETF,NIFTYETF,"Equity","384.244091823",,,,,,,,,,
Goodricke Group Ltd,GOODRICKE,"Tea & Coffee","382.32","910.21",,,"8.040000000000003","311.97","3.72","13.810000000000002","298.16","9.290000000000003","7.5900000000000025"
Bemco Hydraulics Ltd,BEMHY,"Industrial Machinery","382.23516","33.269999999999996","15.55","5.67","3.989999999999997","25.74","0.91","6.299999999999997","19.44","5.919999999999997","5.429999999999997"
Quantum Gold Fund,QGOLDHALF,"Gold","381.93636555",,,,,,,,,,
Vertoz Ltd,VERTOZ,"Advertising","381.74517","187.95999999999998","20.43","9.84","6.189999999999994","76.21","0.72","14.249999999999993","61.96","9.189999999999994","7.729999999999994"
Medico Remedies Ltd,MEDICO,"Pharmaceuticals","381.394464","2.4099999999999966","6.28","10.84","2.869999999999998","59.36","0.35","5.009999999999998","54.35","4.219999999999998","3.829999999999998"
Dhabriya Polywood Ltd,DHABRIYA,"Building Products - Laminates","381.175787675","13.790000000000003","33.67","16.85","7.65","65.95","7.08","14.14","51.81","11.67","10.33"
De Nora India Ltd,DENORA,"Electrical Components & Equipments","381.13337803","114.94",,,"-0.6300000000000006","23.84","-1.2","-0.39000000000000057","24.23","-0.9200000000000006","-0.9200000000000006"
Ludlow Jute & Specialities Ltd,LUDLOWJUT,"Textiles","380.829792","32.69000000000003","62.76","21.8","3.4299999999999953","135.95","3.18","9.739999999999995","126.21","7.999999999999995","4.229999999999995"
Nandan Denim Ltd,NDL,"Textiles","380.54852352","43.199999999999854","87.81","17.56","2.9700000000000086","500.97","0.02","22.49000000000001","478.48","10.840000000000009","4.1000000000000085"
HCL Infosystems Ltd,HCL-INSYS,"IT Services & Consulting","379.579046984","18.340000000000003","20.97","36.55","-9.749999999999998","11.65","-0.3","-9.659999999999998","21.31","-9.739999999999998","-9.749999999999998"
Covance Softsol Ltd,COVANCE,"IT Services & Consulting","379.35298029","0.00999999999999801","45.66","44.02","12.600000000000003","41.13","5.7","16.580000000000002","24.55","16.540000000000003","15.440000000000003"
MBL Infrastructure Ltd,MBLINFRA,"Construction & Engineering","379.278252736","55.040000000000006","11.72","13.92","-9.380000000000006","66.07","-0.86","14.219999999999992","51.85","0.1799999999999926","-9.510000000000007"
RDB Real Estate Constructions Ltd,RRECL,"Real Estate","378.972502","36.680000000000014","1.39","8.35","-3.6000000000000014","21.36","-2.08","12.139999999999999","9.22","11.559999999999999","-1.8400000000000016"
Thomas Scott (India) Ltd,THOMASCOTT,"Retail - Apparel","378.6425078","-17.61","13.9","27.74","4.969999999999997","66.46","3.39","7.729999999999997","58.73","7.039999999999997","6.369999999999997"
Kaya Ltd,KAYA,"Wellness Services","377.26020755999997","247.7",,,"-27.76","61.54","-18.28","-6.940000000000005","68.48","-18.560000000000002","-27.76"
Axis AAA Bond Plus SDL ETF-2026 Matur. Reg. Growth,AXISBPSETF,"Equity","375.77457153200004",,,,,,,,,,
Vipul Organics Ltd,VIPULORG,"Specialty Chemicals","374.04113058","13.889999999999988","10.93","11.03","1.8500000000000032","46.38","1.1","4.590000000000003","41.79","3.0100000000000033","2.520000000000003"
Kavveri Defence & Wireless Technologies Ltd,KAVDEFENCE,"Communication & Networking","373.61215164000004","3.02","1.3","1.24","-0.5899999999999999","1.58","-0.17","-0.5299999999999998","2.11","-0.5899999999999999","-0.5899999999999999"
Batliboi Ltd,BATLIBOI,"Industrial Machinery","373.33661171","426.68",,,"5.01999999999999","127.35","1","8.47999999999999","118.87","6.83999999999999","5.4899999999999896"
Mkventures Capital Ltd,MKVENTURES,"Specialized Finance","372.81465","12.219999999999999","0.89","1.07","2.3200000000000003","3.81","6.07","2.41","1.4","2.35","2.35"
Medicamen Biotech Ltd,MEDICAMEQ,"Pharmaceuticals","372.231457675","6.3699999999999894","30.87","13.28","2.189999999999997","47.44","1.21","4.909999999999997","42.53","3.0799999999999965","2.1099999999999968"
Hi-Green Carbon Ltd,HIGREEN,"Commodity Chemicals","371.3514","-2.210000000000009","1.98","4.69",,,,,,,
Delton Cables Ltd,DLTNCBL,"Cables","370.6992","-13.949999999999967","38.67","14.13","4.090000000000024","269.42","4.73","19.100000000000023","250.32","17.290000000000024","6.290000000000024"
Kriti Industries (India) Limited,KRITI,"Building Products - Pipes","369.873224","557.01",,,"4.020000000000008","143.8","0.76","16.570000000000007","127.23","12.280000000000008","8.790000000000008"
Last Mile Enterprises Ltd,LASTMILE,"Construction & Engineering","369.288222","-2.369999999999984","4.59","21.2","2.1300000000000137","377.42","0.06","4.610000000000014","372.81","4.110000000000014","3.2600000000000136"
Asarfi Hospital Ltd,ASARFI,"Hospitals & Diagnostic Centres","369.146148","138.23",,,"3.9099999999999975","45.89","1.99","8.369999999999997","37.52","5.609999999999998","4.899999999999998"
Tiger Logistics (India) Ltd,TIGERLOGS,"Logistics","368.874525","481.59999999999997","15.81","7.24","5.940000000000001","140.98","0.58","9.530000000000001","131.45","9.290000000000001","7.820000000000001"
iWare Supplychain Services Ltd,IWARE,"Logistics","368.46966","228.58",,,,,,,,,
Bai-Kakaji Polymers Ltd,BAIKAKAJI,"Plastic Products","368.15568","0.009999999999997122","5.37","10.14",,,,,,,
Exato Technologies Ltd,EXATO,"Software Services","367.88931005","3.9099999999999935","10.25","7.08","4.600000000000001","36.02","5.45","7.100000000000001","28.92","6.900000000000001","6.300000000000002"
Kesoram Industries Ltd,KESORAMIND,"Tires & Rubber","367.825776992","63.910000000000004","71.57","32.98","6.02","98.81","0.19","17.97","80.84","12.87","6.02"
Creative Graphics Solutions India Ltd,CGRAPHICS,"Stationery","367.32575","10.500000000000002","22.79","15.67",,,,,,,
Aprameya Engineering Ltd,APRAMEYA,"Health Care Equipment & Supplies","367.2816","-0.1900000000000106","3.1","101.23",,,,,,,
Trejhara Solutions Ltd,TREJHARA,"IT Services & Consulting","366.550544046","85.51","17.46","5.21","1.2099999999999993","34.95","0.51","2.8599999999999994","32.09","1.8399999999999994","1.5299999999999994"
Industrial Investment Trust Ltd,IITL,"Asset Management","366.1271169","0.839999999999999","3.09","6.0200000000000005","6.09","11.1","2.7","8.48","2.62","7.99","7.99"
