Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Jindal Hotels Ltd,JINDHOT,"Hotels, Resorts & Cruise Lines","45.115","36.07",,,"1.81","15.09","2.6","5.43","9.66","4.16","3.2600000000000002"
Minal Industries Ltd,MINALIND,"Precious Metals, Jewellery & Watches","45.09665275","10.070000000000004","3.7","2.04","-0.5799999999999998","9.05","-0.05","-0.8399999999999999","9.89","-0.9799999999999999","-0.9999999999999999"
Manugraph India Ltd,MANUGRAPH,"Industrial Machinery","45.075120401999996","82.64",,,"-1.2299999999999995","25.19","-0.4","0.4800000000000004","24.71","0.23000000000000043","0.040000000000000424"
Gurunanak Agriculture India Ltd,GURUNANAK,"Agricultural & Farm Machinery","45","-0.29999999999999893","4.44","0.94",,,,,,,
Welcast Steels Ltd,ZWELCAST,"Metals - Diversified","44.904198765","55.14",,,"1.3900000000000001","3.74","21.64","2.22","1.52","2.08","2.08"
Rexpro Enterprises Ltd,REXPRO,"Business Support Services","44.8818723","15.269999999999994","4.32","6.3",,,,,,,
Simplex Realty Ltd,SIMPLXREA,"Real Estate","44.87073","15.81",,,"-1.8699999999999992","9.41","-6.27","-0.11999999999999922","9.53","-0.15999999999999923","-0.15999999999999923"
Aatmaj Healthcare Ltd,AATMAJ,"Hospitals & Diagnostic Centres","44.861","21.96",,,"0.13","6.71","0.08","0.8300000000000001","5.88","0.67","0.28"
Rajnish Wellness Ltd,RAJNISH,"FMCG - Personal Products","44.675298139999995","-0.010000000000001674","0.71","1.51","-0.9200000000000016","23.61","-0.01","-1.0100000000000016","24.62","-1.0200000000000016","-1.0200000000000016"
Kontor Space Ltd,KONTOR,"Business Support Services","44.6505","1.42","1.16","9.9",,,,,,,
Orient Beverages Ltd,ORIBEVER,"Soft Drinks","44.634975","6.0500000000000025","25.65","46.1","2.0600000000000014","47.34","9.53","5.600000000000001","41.74","5.000000000000002","2.8600000000000017"
India Home Loan Ltd,INDIAHOME,"Home Financing","44.587639110000005","10.33","2.77",,"0.010000000000000092","3.32","0.01","0.10000000000000009","3.2199999999999998","0.04000000000000009","0.04000000000000009"
Dindigul Farm Product Ltd,DFPL,"Building Products - Ceramics","44.51014816","15.93","4.08","1.03",,,,,,,
Tarapur Transformers Ltd,TARAPUR,"Heavy Electrical Equipments","44.479525091","9.559999999999999","0.08","0.39","-0.23999999999999996","0.51","-0.12","0.28","0.23","0.18000000000000002","-0.23999999999999996"
Madhucon Projects Ltd,MADHUCON,"Construction & Engineering","44.42455388","400.27000000000004","18.13","4.54","-106.62999999999997","190.55","-14.45","21.600000000000023","168.95","-109.11999999999998","-115.52999999999997"
Sylph Industries Ltd,SYLPH,"IT Services & Consulting","44.390847060000006","0.08000000000000007","0.08","1.92","1.2600000000000007","15.99","0.08","2.1400000000000006","13.85","2.1200000000000006","2.1100000000000008"
Austin Engineering Company Ltd,AUSTENG,"Industrial Machinery","44.272394","24.48","20.88","13.75","0.9700000000000008","28.61","2.8","2.120000000000001","26.49","1.7300000000000009","1.6200000000000008"
Real Eco Energy Ltd,REALECO,"Real Estate","44.2","0.04999999999999989","0","0.08","0.84","0.87","0.08","0.84","0.03","0.84","0.84"
Srigee DLM Ltd,SRIGEE,"Industrial Machinery","44.1687984","-3.4200000000000017","1.58","1.39",,,,,,,
Sarup Industries Ltd,SARUPINDUS,"Footwear","44.15133","3.990000000000001","3.82","0.62","0.060000000000000164","3.54","0.17","0.43000000000000016","3.11","0.3300000000000002","0.060000000000000164"
Metal Coatings (India) Ltd,METALCO,"Iron & Steel","43.9827804","5.039999999999983","9.31","2.33","0.9500000000000013","38.49","1.31","1.3500000000000014","37.14","1.2100000000000013","1.2000000000000013"
Mittal Life Style Ltd,MITTAL,"Textiles","43.956","67.00999999999999","0.68","0.98","0.8300000000000012","21.51","0.02","2.530000000000001","18.98","1.8600000000000012","1.3800000000000012"
Toyam Sports Ltd,TOYAMSL,"Diversified Financials","43.91394","49.1","5.04","1.34","-3.1599999999999997","0","-0.55","-6.18","6.18","-6.18","-6.18"
Arex Industries Ltd,AREXMIS,"Textiles","43.90414","3.4899999999999975","17.36","5.22","0.2799999999999993","12.99","0.72","1.5299999999999994","11.46","0.4699999999999993","0.2099999999999993"
KMS Medisurgi Ltd,KMSMEDI,"Health Care Equipment & Supplies","43.824","0.7299999999999993","1.05","0.52",,,,,,,
Snehaa Organics Ltd,SNEHAA,"Specialty Chemicals","43.7697","-0.6799999999999997","1.96","0.59",,,,,,,
Nirmitee Robotics India Ltd,NIRMITEE,"Education Services","43.7544342","2.190000000000001","1.14","3.82",,,,,,,
Dhanlaxmi Fabrics Ltd,DHANFAB,"Textiles","43.7207045","5.27","2.29","2.87","-0.06999999999999915","12.06","-0.08","-0.03999999999999915","12.1","-0.11999999999999915","-0.11999999999999915"
Ravileela Granites Ltd,RALEGRA,"Building Products - Granite","43.72018","9.199999999999996","4.11","4.65","0.26000000000000034","9.64","0.24","1.8600000000000003","7.78","1.3600000000000003","0.6000000000000003"
Nova Iron and Steel Ltd,NOVIS,"Iron & Steel","43.692640992","50.41000000000003","17.13","9.6","-11.759999999999998","110.26","-3.26","-0.7999999999999972","111.06","-7.039999999999997","-11.759999999999998"
Marg Techno-Projects Ltd,MTPL,"Diversified Financials","43.6792","3.7699999999999996","1.08",,"0.18000000000000002","1.54","0.14","0.27","1.27","0.24000000000000002","0.24000000000000002"
