Name,Ticker,"Sub-Sector","Market Cap","EV / Free Cash Flow","Enterprise Value","Price / CFO","PB Premium vs Sub-sector","Dividend Yield vs Sub-sector","Price / Sales","Sector PB","Sector Dividend Yield","Sector PE","TTM PE Ratio"
Euro Panel Products Ltd,EUROBOND,"Metals - Aluminium","435.806",,"547.236","46.31307120085016","46.205027053632264",,"1.026948182010981","3.3971619560814212","2.147340135276208","23.8500931581181","17.94178674351589"
Orbit Exports Ltd,ORBTEXP,"Textiles","434.91544856","15.549149825379994","439.88544856000004","12.986427248730964","-43.719746337416524",,"1.8098853456512691","5.599852449734864","0.6843999547954118","24.52159967199169","13.336873614228756"
Maruti Interior Products Ltd,SPITZE,"Cables","434.5176","581.0494736842104","441.5976","124.50361031518624","63.25957543436775",,"9.90015037593985","6.806753889542422","0.5875072100804868","40.633213495947615",
Sealmatic India Ltd,SEALMATIC,"Cables","434.455300125",,"423.97530012500005",,"-43.531859383962455","-0.35066761731750573","4.2299221120144095","6.806753889542422","0.5875072100804868","40.633213495947615",
Alufluoride Ltd,ALUFLUOR,"Commodity Chemicals","434.4277751","287.04518340000004","430.56777510000006","35.96256416390729","-64.78077619068827","0.04740876091599927","2.2801016905474203","3.3971619560814212","2.147340135276208","23.8500931581181","19.77368116067363"
Radiant Cash Management Services Ltd,RADIANTCMS,"Business Support Services","432.807266736","7.529313996899223","301.09726673599994","9.967924153293412","-70.69634040335586","4.152213951925262","0.998494132644304","6.806753889542422","0.5875072100804868","40.633213495947615","11.822105073367942"
Mangalam Global Enterprise Ltd,MGEL,"Commodity Chemicals","432.0473916",,"641.8973916",,"-82.30960850980455","-0.41636759383618066","0.12664997481935306","3.3971619560814212","2.147340135276208","23.8500931581181","9.556456350365092"
Veritas (India) Ltd,VERITAS,"Commodities Trading","432.04315","25.78592307692308","653.6731500000001","14.934087452471484","-97.55454528210295","-0.00911160932720467","0.10527572418565664","6.806753889542422","0.5875072100804868","40.633213495947615","12.508487261146549"
Swiss Military Consumer Goods Ltd,SWISSMLTRY,"Investment Banking & Brokerage","431.89693241000003",,"412.83693241000003",,"-30.553871177438594",,"1.9612957286680897","2.291066253952224","1.0648908826242334","15.782900266071515","47.670743091611584"
Rama Phosphates Ltd,RAMAPHO,"Fertilizers & Agro Chemicals","431.855942904","16.836496390382248","546.1759429040001","10.823457215639099","-55.29365322165517",,"0.48283350428657684","3.3971619560814212","2.147340135276208","23.8500931581181","8.191501193171451"
Xtglobal Infotech Ltd,XTGLOBAL,"IT Services & Consulting","430.93946416499995","28.649100505259895","462.9694641649999","25.80475833323353","-56.900255244321144",,"1.8253959003939342","5.823616002155781","3.217780581074618","21.61194022660079","46.84124610489098"
Plastiblends India Ltd,PLASTIBLEN,"Specialty Chemicals","430.12126",,"397.08126000000004","48.54641760722348","-77.48614890481448","1.4734846829080115","0.5365114880878133","3.3971619560814212","2.147340135276208","23.8500931581181","11.726315703380605"
Divine Hira Jewellers Ltd,DIVINEHIRA,"Precious Metals, Jewellery & Watches","429.901945","874.3373854166666","419.681945","573.2025933333333","-39.65802730729565",,"0.4863309218638642","5.599852449734864","0.6843999547954118","24.52159967199169",
True Colors Ltd,TRUECOLORS,"Electronic Equipments","428.743494",,"468.993494","76.42486524064171","-38.75463775003985",,"1.4194924314660309","5.823616002155781","3.217780581074618","21.61194022660079",
Kisan Mouldings Ltd,KISAN,"Building Products - Pipes","427.558309635",,"451.15830963499997",,"-46.54158180598509",,"1.6865540200978266","6.806753889542422","0.5875072100804868","40.633213495947615","-57.62241369743953"
Hindustan Motors Ltd,HINDMOTORS,"Four Wheelers","427.125572771",,"427.64557277100005",,"308.28924465550045",,"17.519506676415094","5.599852449734864","0.6843999547954118","24.52159967199169","119.97909347500003"
Workmates Core2cloud Solution Ltd,WORKMATES,"IT Services & Consulting","425.67446",,"417.59446","84.12538735177867","253.28852363198644",,"2.9336627153687114","5.823616002155781","3.217780581074618","21.61194022660079",
Suraj Ltd,SURAJLTD,"Iron & Steel","425.4594688",,"489.3794688",,"2.4358922469827022",,"2.0056544043746762","3.3971619560814212","2.147340135276208","23.8500931581181","56.879608128342056"
GP Eco Solutions India Ltd,GPECO,"Renewable Energy Equipment & Services","424.489104","122.02715178082195","445.39910399999997","19.00981209135692","-38.430393714358914",,"1.715592709049024","6.806753889542422","0.5875072100804868","40.633213495947615",
A-1 Ltd,A1L,"Commodity Chemicals","424.12",,"443.23",,"-29.551057837197796",,"1.2351690596149925","3.3971619560814212","2.147340135276208","23.8500931581181","70.56905158069857"
Banswara Syntex Ltd,BANSWRAS,"Textiles","422.013131552",,"862.1431315519999","5.465075518673919","-73.31559377828673","0.26083196895320615","0.3071129598742477","5.599852449734864","0.6843999547954118","24.52159967199169","13.526061908717857"
Kriti Nutrients Ltd,KRITINUT,"Packaged Foods & Meats","421.17018912","14.560607437568654","397.65018912","13.1780409612015","-51.29435446280194","3.040712498055396","0.4531245310496191","8.190568262110702","1.6836677726443445","30.846384996929732","12.427565332546484"
Unifinz Capital India Ltd,UCIL,"Specialized Finance","420.98948835",,"446.92948835",,"248.11293736110355","-0.814148154177793","3.450450687238751","2.291066253952224","1.0648908826242334","15.782900266071515","5.592315201248669"
Omax Autos Ltd,OMAXAUTO,"Auto Parts","420.898643627","14.286025319431447","397.00864362699997","12.317782956599356","-77.43398342528164","0.7224223365533129","0.8094204685134616","5.599852449734864","0.6843999547954118","24.52159967199169","11.363354309584228"
Manaksia Steels Ltd,MANAKSTEEL,"Iron & Steel","419.87665835",,"490.05665835","31.033012442719883","-53.5277027883944",,"0.6491599541589363","3.3971619560814212","2.147340135276208","23.8500931581181","16.5893582911893"
LT Elevator Ltd,LTELEVATOR,"Industrial Machinery","417.754599",,"430.784599",,"-13.853590403559238",,"3.7389653539783403","6.806753889542422","0.5875072100804868","40.633213495947615",
Tera Software Ltd,TERASOFT,"IT Services & Consulting","417.458709375","63.44557345839526","426.98870937500004","61.300838381057275","-35.22790652556819",,"1.7251785658938756","5.823616002155781","3.217780581074618","21.61194022660079","16.81944840350524"
Connplex Cinemas Ltd,CONNPLEX,"Theatres","416.953",,"406.863","148.9117857142857","1130.1842289716883",,"2.7778347768154563","8.560593958157467","1.1816713015722953","31.760915159046945",
Pakka Limited,PAKKA,"Paper Products","416.9385756",,"548.9385755999999","37.360087419354834","-24.21034410220723",,"0.9909884619589759","3.3971619560814212","2.147340135276208","23.8500931581181","62.98165794561934"
