Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","87313.59556625","75.11","-1866.04","2178.36","16832.500000000007",,"119.78","251.7","1.04","32520.13","2519.55","17089.39","3924.62"
Waaree Energies Ltd,WAAREEENER,"Renewable Energy Equipment & Services","86444.9791942","5440.7","-6805.51","388.4399999999996","10110.760000000002",,"4035.74","0","0","3751.2200000000003","3274.1","5928.75","3158.21"
PB Fintech Ltd,POLICYBZR,"Online Services","84553.356966","7810.24","491.48","235.65000000000003","1091.5899999999992",,"-72.69","1533.23","0","-1469.8099999999995","97.12","416.45000000000005","-183.14"
Oracle Financial Services Software Ltd,OFSS,"Software Services","84482.87164515","1909.2","-2371.9","-2269.1","1704.8999999999999",,"-2096.1","0","2080.6","6409.599999999999","35.2","196.29999999999995","2198.9"
Lenskart Solutions Ltd,LENSKART,"Retail - Speciality","84182.96551755999","6765.01","-261.64","434.21000000000015","4183.380000000001",,"-534.78","50.01","0","-979.5700000000006","426.7","3598.7149999999992","1230.63"
Steel Authority of India Ltd,SAIL,"Iron & Steel","82213.975352256","235.12","-5268.5","222.1999999999989","77812.14",,"-4423.6","4975.58","413.05","54539.96","6221.15","80532.84999999999","9914.3"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","82046.09697804","0","-13514.41","300.6200000000008","50117.630000000005",,"2482.99","30969.32","2109.29","48141.11","12968.99","52335.810000000005","11332.04"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","81442.406838175","0","-10556.61","-467.1100000000006","143625.56000000003",,"-4138.24","23793.88","2336.26","49016.08","9579.33","103022.57","14227.74"
Dabur India Ltd,DABUR,"FMCG - Personal Products","79975.68985548","548.02","-448.26","133.1500000000001","5019.490000000002",,"-1405.34","5380.31","974.78","10075.439999999999","569.54","3062.1499999999996","1986.75"
NHPC Ltd,NHPC,"Renewable Energy","79858.02669975","0","-7550.17","-620.4700000000005","57516.53999999998",,"1903.51","444.12","2309.9","29623.13","8851.41","72768.84","5026.19"
