Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
Groww Nifty Metal ETF,GROWWMETAL,"Equity","9.8293875",,,,,,,,,,,,
Milestone Global Ltd,MILESTONE,"Building Products - Granite","9.784125","1.51","-0.4","0.18","1.4800000000000038",,"0.18","0","0","2.9400000000000004","0.38","3.1800000000000015","0.4"
Lime Chemicals Ltd,LIMECHM,"Commodity Chemicals","9.757092","7.9","-0.06","-0.16000000000000003","8.160000000000002",,"0.11","0.11","0","-12.46","0.11","5.74","-0.21"
VK Global Industries Ltd,VKGLOBAL,"Technology Hardware","9.74717","0","-1.65","-1.99","0.11999999999999979",,"0","0","0","-1.02","0","1.13","-0.34"
Motilal Oswal Nifty Capital Market ETF,MOCAPITAL,"Equity","9.689325",,,,,,,,,,,,
Mayur Floorings Ltd,MAYURFL,"Building Products - Granite","9.6657072","0","-1.21","-0.010000000000000064","3.5200000000000005",,"-0.18","0","0","-1.63","1.21","5.24","1.38"
UTI Nifty Midcap 150 Exchange Traded Fund,MIDCAPBETA,"Equity","9.66493812",,,,,,,,,,,,
Motilal Oswal BSE Quality ETF,MOQUALITY,"Equity","9.616968564",,,,,,,,,,,,
Veerkrupa Jewellers Ltd,VEERKRUPA,"Precious Metals, Jewellery & Watches","9.566834909","0","-0.04","-0.009999999999999787","9.160000000000002",,"6.92","0","0","0.37","0.04","0.06999999999999999","-6.89"
Aditya Birla Sun Life MSCI India ETF,ABSLMSCIN,"Equity","9.533470044",,,,,,,,,,,,
Mount Housing and Infrastructure Ltd,MOUNT,,"9.5313189","0","-0.05","0.04999999999999999","16.880000000000003",,"0.29","0","0","0.78","0.05","0.6900000000000002","-0.19"
Super Bakers Ltd,SUPERBAK,"Packaged Foods & Meats","9.51804","0.51","0","0.19","0.3099999999999989",,"0","0","0","1.5799999999999998","0","0.37","0.19"
Plada Infotech Services Ltd,PLADAINFO,"Software Services","9.51714","8.58","-5.35","-0.5","20.59",,"2.07","12.04","0","6.0600000000000005","3.72","0.48770000000000113","2.78"
Octal Credit Capital Ltd,OCTAL,"Diversified Financials","9.5167127","0.56","0.17","-0.11000000000000001","2.97","3.05","0","22.95","0","17.860000000000003","0","0","-0.28"
Nippon India Nifty India Manufacturing ETF,MANUFGBEES,"Equity","9.502030881",,,,,,,,,,,,
ICICI Pru Nifty Commodities ETF,COMMOIETF,"Equity","9.47372874",,,,,,,,,,,,
Mayur Leather Products Ltd,MAYUR,"Footwear","9.452034","1.59","0.75","-0.01","10.95",,"-0.01","0","0","-3.8899999999999997","0","2.38","-0.75"
ADITYA BSL Nifty 200 Momentum 30 ETF,MOMENTUM,"Equity","9.432275782",,,,,,,,,,,,
Libord Securities Ltd,LIBORD,"Investment Banking & Brokerage","9.425","0","-0.16","0.010000000000000009","0.04000000000000023","0","0","1.84","0","-1.3","0","0","0.17"
SRU Steels Ltd,SRUSTEELS,"Iron & Steel","9.41046225","0","-6.19","2.5700000000000003","0.680000000000009",,"47.5","0","0","-0.52","1.96","2.24","-38.74"
Mehta Securities Ltd,MEHSECU,"Investment Banking & Brokerage","9.391776","4.6","-0.08","0.020000000000000018","6.649999999999999","0","1.07","12.02","0","-2.1499999999999995","0","0.04040000000000006","-0.97"
Kalpa Commercial Ltd,KALPACOMME,"Textiles","9.3275","41.75","0.36","0.25","2.1799999999999993",,"-0.47","3.36","0","-29.8","0","0","0.36"
Motilal Oswal Gold ETF,MOGOLD,"Gold","9.318",,,,,,,,,,,,
Minaxi Textiles Ltd,MINAXI,"Textiles","9.27","0","0.8","0.020000000000000462","19.270000000000003",,"-4.18","0","0","-2.62","0.12","6.880000000000001","3.4"
RLF Ltd,RLF,"Textiles","9.26736506","0","-0.19","0","5.010000000000007",,"-0.27","0","0","17.81","0.18","29.34","0.46"
Modern Shares and Stockbrokers Ltd,MODRNSH,"Investment Banking & Brokerage","9.2271815","1.69","0.73","0.96","3.8899999999999966","0","0","0","0","8.120000000000001","0.04","0.09999999999999998","0.23"
Indo Euro Indchem Ltd,INDOEURO,"Specialty Chemicals","9.217481","0","-0.32","0.06","8.06",,"0","0","0","2.41","0.96","1.8599999999999999","0.38"
Premier Ltd,PREMIER,"Industrial Machinery","9.20288871","31.89","1.76","0.15999999999999992","521.3",,"0","0","0","-400.21","0","118.91000000000001","-1.6"
Prima Agro Ltd,PRIMAGR,"Agro Products","9.1897781","0","0.74","-0.37","10.599999999999998",,"-0.14","1.02","0","10.57","0.86","4.489999999999998","-0.97"
Prashant India Ltd,PRSNTIN,"Textiles","9.186675867","5.47","1.88","0.9799999999999999","35.79",,"0","0","0","-42.92","0","0.4099999999999999","-0.9"
Eastcoast Steel Ltd,ECSTSTL,"Iron & Steel","9.1739956","9.43","-9.14","-10.42","2.979999999999998",,"0","0.5","0","4.41","0.01","0.019999999999999962","-1.28"
Dhyaani Tradeventtures Ltd,DHYAANITR,"Diversified Financials","9.141888","16.6","-0.08","-0.0799999999999983","25.199999999999992",,"31.37","0","0","0.9399999999999977","0","0.12","-31.37"
Rotographics (India) Ltd,RGIL,"Commodities Trading","9.12702327893432","0","0.05","1.03","0.719999999999999",,"0.45","0.01","0","0.06","0","0","0.53"
Skyline Ventures India Ltd,SKILVEN,"Real Estate","9.1233364","0","0","0","1.8999999999999992",,"0.07","0","0","-0.35","0","0.5800000000000001","-0.07"
Sterling Greenwoods Ltd,STRGRENWO,"Real Estate","9.1153292","0","2.9","2.42","20.430000000000003",,"0.29","0","0","7.74","0","19.391800000000007","-0.77"
Nouveau Global Ventures Ltd,NOUVEAU,"Conglomerates","9.09097","1.46","0.93","0.04000000000000006","8.51",,"0.09","0.31","0","-19.62","0","6.680000000000001","-0.98"
BFL Asset Finvest Ltd,BFLAFL,"Investment Banking & Brokerage","9.081115","1.77","0.1","-0.009999999999999787","3.2800000000000034","0","-1.69","0","0","4.029999999999999","0","0","1.58"
Natural Biocon (India) Ltd,NATURAL,"Agro Products","9.0497628","5.04","-21.11","-0.13999999999999702","6.659999999999998",,"19.67","21.12","0","1.0499999999999998","0","3.29","1.3"
Rite Zone Chemcon India Ltd,RITEZONE,"Construction & Engineering","8.9681724","7.71","-0.31","-0.25999999999999995","6.429999999999996",,"0.08","0","0","3.1399999999999997","0.31","1.8299999999999998","-0.03"
Solve Plastic Products Ltd,BALCO,"Plastic Products","8.93307125","0","-0.84","2.96","14.350000000000001",,"6.88","0","0","5.61","0.87","6.07","-3.08"
Chadha Papers Ltd,CHADPAP,"Paper Products","8.928534999999949","0","-10.59","-17.750000000000004","232.79999999999998",,"-41.28","1.45","0","0","16.14","147.1","34.12"
Groww Nifty 500 Momentum 50 ETF,GROWWMOM50,"Equity","8.9272034",,,,,,,,,,,,
Vision Cinemas Ltd,VISIONCINE,"Movies & TV Serials","8.92384983","7.92","0","-0.04","4.030000000000002",,"-0.02","0","0","-7.39","0","1","-0.02"
BNR Udyog Ltd,BNRUDY,"IT Services & Consulting","8.853","0","0.1","-2.77","0.31999999999999845",,"0","0","0","6.69","0.02","2.5","-2.87"
Sabar Flex India Ltd,SABAR,"Packaging","8.84860557","3.63","-0.15","0.04999999999999982","36.95",,"5.67","0","0","11.18","0.15","11.339999999999998","-5.47"
Gagan Gases Ltd,GAGAN,"Oil & Gas - Storage & Transportation","8.838186","0","-0.07","0.16","0.6000000000000014",,"-0.03","0","0","-1.21","0.01","0.5500000000000007","0.26"
Kotak Nifty MNC ETF,MNC,"Equity","8.82791598",,,,,,,,,,,,
Anjani Finance Ltd,ANJANIFIN,"Diversified Financials","8.824671","0","0.3","0.6","0.169999999999998","0","-0.12","10.37","0","5","0","0.020000000000000018","0.42"
Sab Events & Governance Now Media Ltd,SABEVENTS,"Publishing","8.816800951000001","0","0.03","-0.21000000000000002","3.239999999999999",,"0.03","0","0","-12.48","0","0.04759999999999909","-0.27"
DSP Nifty Bank ETF,BANKADD,"Equity","8.816116374",,,,,,,,,,,,
Bhagawati Gas Ltd,BHAGGAS,"Commodity Chemicals","8.789790975","6.67","0.58","-0.3900000000000001","6.560000000000002",,"1.63","0.04","0","-8.719999999999999","0.17","2.21","-2.6"
Clinitech Laboratory Ltd,CTLLAB,"Health Care Equipment & Supplies","8.78724","4.79","-0.73","2.37","1.8699999999999999",,"3.98","0.07","0","1.7599999999999998","1.16","3.13","-0.88"
Shree Rajiv Lochan Oil Extraction Ltd,SHRAJOI,"Advertising","8.783578","0","0","-0.73","0.4100000000000002",,"-0.01","1.33","0","2.03","0","0","-0.72"
KMF Builders and Developers Ltd,KMFBLDR,"Real Estate","8.783222","0","0.66","-0.21999999999999992","0.52",,"-0.06","0","0","6.08","0","0.15000000000000002","-0.82"
Croissance Ltd,CROISSANCE,"Restaurants & Cafes","8.774144","0","-2.35","-0.6400000000000001","7.360000000000001",,"-0.04","0","0","0.99","0","0","1.75"
Hindustan Bio Sciences Ltd,HINDBIO,"Biotechnology","8.764434","0","0","-0.020000000000000004","2.52",,"-0.05","0","0","-1.15","0","0.030000000000000027","0.03"
PS IT Infrastructure & Services Ltd,PSITINFRA,"Technology Hardware","8.76288","0","0","-2.5","5.250000000000007","0","0","0","0","-19.91","0","0","-2.5"
Explicit Finance Ltd,EXPLICITFIN,"Investment Banking & Brokerage","8.7486144","0","0","0.69","0.04000000000000131","5.79","0","0","0","-1.36","0","0","0.69"
Marshall Machines Ltd,MARSHALL,"Industrial Machinery","8.700042988","44.18","-18.66","0.10999999999999943","80.28999999999999",,"31.25","0","0","7.939999999999998","18.79","52.22506539999999","-12.48"
Sunraj Diamond Exports Ltd,SUNRAJDI,"Precious Metals, Jewellery & Watches","8.688552","0","0.02","-0.009999999999999953","25.839999999999993",,"0.34","0","0","-4.34","0","0.06999999999999995","-0.37"
Tashi India Ltd,TASHIND,"Diversified Financials","8.650125","0.5","-1.3","-0.44000000000000006","0.26","0","0","8.03","0","16.93","0","0.6599999999999999","0.86"
Unjha Formulations Ltd,UNJHAFOR,"FMCG - Personal Products","8.647365","0","-0.18","-0.23","1.4099999999999984",,"-0.01","0","0","-1.34","0.18","0.6999999999999997","-0.04"
C J Gelatine Products Ltd,CJGEL,"Specialty Chemicals","8.6398735","0","-0.55","-2.7755575615628914e-17","28.65",,"0.09","0","0","-0.63","0.59","5.949999999999999","0.46"
Dr Lalchandani Labs Ltd,DLCL,"Hospitals & Diagnostic Centres","8.637068","2.92","0.06","1.01","5.81",,"0.58","0.27","0","2.7","0.15","3.51","0.37"
SW Investments Ltd,SW1,"Consumer Finance","8.6355","2.1","-5","0.009999999999999565","0.09000000000000022","0","0.49","7.5","0","4.77","0","0","4.52"
BGIL Films & Technologies Ltd,BGIL,"Movies & TV Serials","8.631654059999999","5.46","0.15","-0.3400000000000001","8.599999999999996",,"0.78","0.67","0","2.3499999999999996","0","1.0999999999999996","-1.27"
Uniroyal Marine Exports Ltd,UNRYLMA,"Packaged Foods & Meats","8.6242145","0","-0.29","-0.2300000000000002","17.700000000000003",,"-1.62","0","0","-6.04","0.29","1.2000000000000028","1.68"
VB Industries Ltd,VBIND,"Diversified Financials","8.5201675","85.82","0.04","0.1","6.699999999999995","0","0","0","0","-3.789999999999992","0","0","0.06"
Mirae Asset Nifty Energy ETF,ENERGY,"Equity","8.519691402",,,,,,,,,,,,
HDFC Nifty100 Low Volatility 30 ETF,HDFCLOWVOL,"Equity","8.48634288",,,,,,,,,,,,
Net Avenue Technologies Ltd,CBAZAAR,"Textiles","8.474360809999999","49.54","1.59","0.6","8.299999999999999",,"0.86","0","0","-45.08","0.02","0.27","-1.85"
SBI BSE PSU BANK ETF,SBIBPB,"Equity","8.466023896",,,,,,,,,,,,
Yashraj Containeurs Ltd,YASHRAJC,"Packaging","8.432","22.2","0.05","7.280000000000001","122.29999999999998",,"24.75","0.07","0","-147.79999999999998","0","1.5499999999999998","-17.52"
Ganesh Holdings Ltd,GANHOLD,"Investment Banking & Brokerage","8.417277","5.17","-5.94","0.009999999999999787","0.060000000000000886","0","4.86","6.67","0","0.5800000000000001","0","0","1.09"
Golden Carpets Ltd,GOLCA,"Textiles","8.411246064","2.24","0","0","5.32",,"0","0","0","-10.82","0","1.65","0"
Mirae Asset Nifty India Internet ETF,INTERNET,"Equity","8.41014198",,,,,,,,,,,,
Bansisons Tea Industries Ltd,BANSTEA,"Tea & Coffee","8.39991","0","0.18","0.15","0.1700000000000002",,"0.15","0","0","-0.33","0","4.93","-0.18"
Karnawati Innovation Ltd,KARNAWATI,"Packaging","8.374805","0","-0.01","0.03","0.5399999999999994",,"0","0","0","-4.22","0.01","0.23000000000000004","0.04"
Groww BSE Power ETF,GROWWPOWER,"Equity","8.374429644",,,,,,,,,,,,
RO Jewels Ltd,ROJL,"Precious Metals, Jewellery & Watches","8.37411568","0","0.36","0.08000000000000002","12.22",,"-0.19","1.38","0","3.1","0","0.47","-0.09"
ISF Ltd,ISFL,"Specialized Finance","8.36","0","-0.01","-0.5199999999999998","3.6499999999999995","14.88","-1.88","0","0","3.92","0.01","0.01","1.37"
Kalahridhaan Trendz Ltd,KTL,"Textiles","8.335695","0.22","-2.46","1.9800000000000002","91.50000000000001",,"3.12","0.65","0","11.809999999999999","2.26","3.0100000000000002","1.32"
Lyons Corporate Market Ltd,LYONSCO,"Diversified Financials","8.32684","0","0.03","-0.06999999999999984","10.32","8.98","1.08","10.99","0","5.49","0","0.15","-1.18"
Motilal Oswal Nifty 500 Momentum 50 ETF,MOMENTUM50,"Equity","8.319286115",,,,,,,,,,,,
Trinity League India Ltd,TRINITYLEA,"Business Support Services","8.312745","0.43","0.21","0","0.030000000000000658","0","0","0","0","-5.5","0","0.17000000000000004","-0.21"
Castora Agri Commodities Ltd,CASTORA,"Iron & Steel","8.2803964","0","-0.01","0","1.8700000000000003",,"0","0","0","-4.03","0.01","0.22999999999999998","0.01"
Objectone Information Systems Ltd,OONE,"IT Services & Consulting","8.2728653","0","-1.32","3.3399999999999994","4.5699999999999985",,"-0.23","0","0","5.75","1.63","3.489799999999999","4.89"
Swagtam Trading and Services Ltd,SWAGTAM,"Real Estate","8.2561175","2.36","0.22","-0.21","1.120000000000001",,"0","0","0","0.98","0","0","-0.43"
Gallops Enterprise Ltd,GALLOPENT,"Real Estate","8.243753","0","0.03","-0.1","0.08000000000000024",,"0","0","0","-3.69","0","0.009999999999999998","-0.13"
Indergiri Finance Ltd,INDERGR,"Diversified Financials","8.229186","0","-0.03","-0.2699999999999996","17.870000000000005","19.51","12.48","0.01","0","-2.3","0","0.01","-12.72"
Sirohia & Sons Ltd,SIROHIA,"Fertilizers & Agro Chemicals","8.214328692","14.6","0","0.01","0.03999999999999801",,"0","4.07","0","3.320000000000002","0","0.019999999999999962","0.01"
HDFC BSE 500 ETF,HDFCBSE500,"Equity","8.212044173999999",,,,,,,,,,,,
Agarwal Fortune India Ltd,AGARWAL,"Building Products - Others","8.2002998","0","-1.21","-0.039999999999999813","1.4999999999999998",,"1.03","0","0","-2.78","0.37","0.36999999999999994","0.14"
Photoquip India Ltd,PHOTOQUP,"Electronic Equipments","8.191092","1.23","0.58","-0.06000000000000005","11.259999999999998",,"-1.25","0.09","0","0.7999999999999998","0.15","8.96","0.61"
Chothani Foods Ltd,CHOTHANI,"Agro Products","8.1844","3.99","0","-2.65","4.070000000000003",,"0.42","0.04","0","1.1600000000000001","0.01","0.7047","-3.07"
Hasti Finance Ltd,HASTIFIN,"Consumer Finance","8.18399615","11.31","0","0","1.58","9.1","0","2.15","0","-10.26","0","0.029999999999999916","0"
Euro-Leder Fashion Ltd,EUROLED,"Apparel & Accessories","8.1598464","0","1.78","-0.8999999999999995","25.730000000000004",,"-7.13","0","0","10.7","0.08","14.57","4.45"
Triveni Glass Ltd,TRIVENIGQ,"Building Products - Glass","8.13953493","44.09","0.46","-0.09000000000000001","21.300000000000004",,"-0.02","0","0","-71.43","0","2.99","-0.53"
Risa International Ltd,RISAINTL,"Real Estate","8.13451275","0","0","0","10.86",,"-0.16","0","0","-35.55","0","0","0.16"
Kotak Nifty India Consumption ETF,CONS,"Equity","8.12034275",,,,,,,,,,,,
Bhagawati Oxygen Ltd,BHAGWOX,"Commodity Chemicals","8.118521190000001","0","0.39","-0.010000000000000037","7.160000000000002",,"0.16","1.07","0","1.66","0","1.4","-0.56"
Thirani Projects Ltd,TPROJECT,"Investment Banking & Brokerage","8.105362875","0","0","-0.11","1.529999999999998","11.37","0","1.26","0","-7.75","0","0","-0.11"
Haria Apparels Ltd,HARIAAPL,"Textiles","8.103594","0","-0.24","0.17000000000000015","8.99",,"-0.96","0.01","0","-9.16","0","1.9799999999999995","1.37"
Gujrat Credit Corporation Ltd,GUJCRED,"Real Estate","8.097","0","-0.64","-0.020000000000000462","19.48",,"-4.94","3.45","0","2.94","0.65","29.04","5.56"
Dhanvantri Jeevan Rekha Ltd,ZDHJERK,"Hospitals & Diagnostic Centres","8.073848","0","-0.66","-0.95","4.659999999999998",,"0","0","0","5.98","0.84","8.41","-0.29"
Shiva Suitings Ltd,SHVSUIT,"Textiles","8.072906765","0","0","0.02","0.060000000000000234",,"0","0","0","0.53","0","0","0.02"
V B Desai Financial Services Ltd,VBDESAI,"Investment Banking & Brokerage","8.01889319","2.13","8.49","0.17999999999999972","0.5900000000000001","9.47","0","0.13","0","5.38","0.04","0.03","-8.31"
ICICI Prudential Nifty200 Value 30 ETF,VAL30IETF,"Equity","8.018272972",,,,,,,,,,,,
EVOQ Remedies Ltd,EVOQ,"Pharmaceuticals","8.0178","16.35","-0.26","0.09000000000000163","5.470000000000007",,"14.97","0","0","3.289999999999999","0.26","0.22","-14.62"
Finelistings Technologies Ltd,FTL,"Retail - Speciality","7.99611375","12.48","-5.04","-1.1099999999999994","1.229999999999998",,"12.23","0","0","-1.8900000000000006","5.1","5.4399999999999995","-8.3"
Transpact Enterprises Ltd,TRANSPACT,"Health Care Equipment & Supplies","7.9937091","1.23","0","-0.4","0.2499999999999999","0","0","0","0","-1.17","0","0.12","-0.4"
Jagjanani Textiles Ltd,JAGJANANI,"Textiles","7.9872","10.23","0","-0.020000000000000004","0.2800000000000023",,"-0.1","0","0","-25.89","0","0","0.08"
Groww Nifty 50 ETF,GROWWNIFTY,"Equity","7.953903426",,,,,,,,,,,,
Indo Credit Capital Ltd,INDOCRED,"Investment Banking & Brokerage","7.95388","0","0","0.02","4.01","1.04","0","6.09","0","-1.41","0","0.86","0.02"
Groww Nifty 200 ETF,GROWWN200,"Equity","7.938725409000001",,,,,,,,,,,,
Kairosoft AI Solutions Ltd,VOLKAI,"Specialized Finance","7.937634759999999","36.79","0.26","19.119999999999997","-17.09",,"19.56","0","0","-0.04999999999999716","0.3","0.29000000000000004","-0.7"
Money Masters Leasing and Finance Ltd,MMLF,"Diversified Financials","7.930200909999999","0","-0.81","-0.12000000000000008","14.339999999999998","0","0.1","0","0.13","3.1","0","0.030000000000000027","0.59"
Kiran Syntex Ltd,KIRANSY-B,"Textiles","7.862315","4.76","0","-0.009999999999999995","0.48999999999999955",,"0.07","0","0","-7.02","0","0.020000000000000018","-0.08"
Sri Lakshmi Saraswathi Textiles (Arni) Ltd,SLSTLQ,"Textiles","7.8319625","4.43","-2.43","-0.23000000000000043","113.19999999999999",,"21.2","0.32","0","-76.35","3.84","21.720000000000002","-19"
MPL Plastics Ltd,MPL,"Commodity Chemicals","7.8231846","26.59","0","-0.29","5.850000000000001",,"0.31","1.04","0","-42.620000000000005","0","0.13","-0.6"
Alexander Stamps and Coin Ltd,ALEXANDER,"Diversified Financials","7.794144","6.69","0","0.08","0.92",,"0.07","1.14","0","0.79","0","0.03","0.01"
Genomic Valley Biotech Ltd,GVBL,"Biotechnology","7.75843","0","0.01","0.04","0.4700000000000007",,"0","0","0","0.84","0.01","0.01","0.03"
Sri Amarnath Finance Ltd,AMARNATH,"Investment Banking & Brokerage","7.75446","45","0","5.17","3.7099999999999858","32.98","-0.01","0","0","21.060000000000002","0","0.2999999999999998","5.18"
Rich Universe Network Ltd,RICHUNV,"Diversified Financials","7.724232","0","0","-0.010000000000000009","12.099999999999998",,"-0.1","0.1","0","-0.16","0","0","0.09"
Millennium Online Solutions (India) Ltd,MILLENNIUM,"Technology Hardware","7.70300454","0.84","0","-0.1","1.6699999999999995",,"-0.17","1.4","0","-1.7999999999999998","0","0.02999999999999997","0.07"
Parker Agro Chem Exports Ltd,PARKERAC,"Oil & Gas - Storage & Transportation","7.69419","0","-0.05","0.27","1.62",,"0.06","0.01","0","-0.89","0.05","2.25","0.26"
IGC Industries Ltd,IGCIL,"Textiles","7.67312","1.2","-20.2","0","11.87",,"42.03","20.39","0","6.76","0","0.009999999999999998","-21.83"
ADITYA BSL Nifty 200 Quality 30 ETF,NIFTYQLITY,"Equity","7.657617978",,,,,,,,,,,,
Devine Impex Ltd,DEVINE,"Commodities Trading","7.6543566","3.74","0","0.01","0.06",,"0","1.22","0","0.33999999999999986","0","0.01","0.01"
Edelweiss Nifty500 Multicap Momentum Quality50 ETF,EMULTIMQ,"Equity","7.651828173",,,,,,,,,,,,
Mercury Trade Links Ltd,MERCTRD,"Investment Banking & Brokerage","7.6366125","45.49","0.25","-10.059999999999995","31.15",,"48.95","0","0","2.9499999999999957","0.01","0.09","-59.26"
Space Incubatrics Technologies Ltd,SPACEINCUBA,"IT Services & Consulting","7.614018720000001","0","0.64","0.33999999999999997","1.1600000000000001",,"1.13","0.5","0","-25.73","0","0.45","-1.43"
Omega AG Seeds Punjab Ltd,OMEAG,"Agro Products","7.595744","2.03","0","0","0.6499999999999996",,"0.1","0","0","-10.2","0","0","-0.1"
Padmanabh Alloys and Polymers Ltd,PADALPO,"Plastic Products","7.57862","0","-0.29","-0.040000000000000036","12.82",,"1.38","0","0","3.23","0.29","2.34","-1.13"
Kabra Commercial Ltd,KCL,"Commodities Trading","7.57638","0","-4","0","15.710000000000006",,"-10.52","13.63","0","19.64","0","0.47","14.52"
Manor Estates and Industries Ltd,KARANWO,"Real Estate","7.551495","0","-0.11","-2.220446049250313e-16","6.010000000000001",,"1.89","0","0","-10.46","0.11","0.11","-1.78"
Shree Hanuman Sugar & Industries Ltd,HANSUGAR,"Sugar","7.548","8.43","0","-0.009999999999999995","85.85",,"0.11","0.45","0","126.25","0","237.24","-0.12"
Priya Ltd,PRIYALT,"IT Services & Consulting","7.50575","4.01","0","0","51.419999999999995",,"0.22","0.02","0.01","-55.989999999999995","0","1.15","-0.22"
Nyssa Corporation Ltd,NYSSACORP,"Real Estate","7.5","4.28","0","-0.03000000000000025","7","9.64","5.22","0.64","0","23.22","0","0.010000000000000002","-5.25"
Nutech Global Ltd,NUTECGLOB,"Textiles","7.4614173","1.36","0.24","-0.51","12.539999999999997",,"-0.45","0","0","1.24","0.16","2.5600000000000005","-0.3"
MFS Intercorp Ltd,MFSINTRCRP,"Iron & Steel","7.4431529","0","-0.03","0.04000000000000001","4.63",,"0","0","0","-3.19","0.03","0.03","0.07"
Vikalp Securities Ltd,VIKALPS,"Investment Banking & Brokerage","7.4405322","0","0.64","-0.030000000000000027","0.02","0","0","0","0","-0.67","0","0","-0.67"
Deccan Polypacks Ltd,DECPO,"Plastic Products","7.434225","0.08","0","0.1","0.0900000000000013",,"0.31","0","0","-15.48","0","0.020000000000000018","-0.21"
Motilal Oswal Nifty India Defence ETF,MODEFENCE,"Equity","7.4175",,,,,,,,,,,,
Groww Nifty Smallcap 250 ETF,GROWWSC250,"Equity","7.415108674",,,,,,,,,,,,
Jayatma Industries Ltd,JAYIND,"Textiles","7.40928","3.84","-0.4","2.62","20.81",,"-0.87","0.12","0","0.41000000000000014","0.39","7.760000000000001","3.89"
Groww Nifty Chemicals ETF,GROWWCHEM,"Equity","7.408548147",,,,,,,,,,,,
Shanti Overseas (India) Ltd,SHANTI,"Packaged Foods & Meats","7.38549","4.31","0.53","-0.83","8.660000000000002",,"0.85","0","0","-3.9199999999999995","0","0.17999999999999972","-2.21"
Yarn Syndicate Ltd,YARNSYN,"Textiles","7.3365","19.46","-1.23","-2.0199999999999996","39.85",,"4.23","18.02","0","-8.91","1.22","1.1199999999999999","-5.02"
DSP BSE Sensex Next 30 ETF,NEXT30ADD,"Equity","7.320629889",,,,,,,,,,,,
Transglobe Foods Ltd,TRANSFD,"FMCG - Foods","7.3171975","0","0","0.05","0.5900000000000001",,"0.03","0","0","-0.8","0","0","0.02"
Groww Nifty Capital Markets ETF,GROWWCAPM,"Equity","7.309433628",,,,,,,,,,,,
Gratex Industries Ltd,GRATEXI,"Commodities Trading","7.28352","0","-0.17","-2.0816681711721685e-17","0.4600000000000007",,"-0.04","0","0","0.61","0.17","1.0400000000000003","0.21"
Epsom Properties Ltd,EPSOMPRO,"Real Estate","7.2739328","0","0","0","1.7200000000000002",,"0.35","0","0","-9.07","0","0","-0.35"
Konndor Industries Ltd,KONNDOR,"Paper Products","7.2729876","0","-0.01","-0.47000000000000003","0.6499999999999978",,"0","0","0","3.67","0.01","0.07999999999999999","-0.46"
Vintage Securities Ltd,VINTAGES,"Consumer Finance","7.260264","0","0","0.01","2.440000000000002","0","0","16.12","0","10.03","0","0.04","0.01"
Magenta Lifecare Ltd,MAGENTA,"Cables","7.254652416","5.59","-0.4","1.259999999999999","4.189999999999999",,"5.81","0","0","1.46","0.4","1.8898000000000001","-4.15"
National Plywood Industries Ltd,NATPLY,"Building Products - Laminates","7.2449685","13.91","0.34","1.6399999999999988","49.230000000000004",,"15.36","0.01","0","-46.92","0.27","4.308999999999999","-14.06"
Vivanza Biosciences Ltd,VIVANZA,"Pharmaceuticals","7.24","0","-0.01","-0.04999999999999982","12.500000000000002",,"2.46","0","0","-0.04","0.01","0.7045999999999999","-2.5"
Integra Capital Ltd,INTCAPL,"Diversified Financials","7.218798","2.32","-0.2","0.33","0.12000000000000088","0.6","0","2.66","0","-2.15","0","0.010000000000000009","0.53"
Decipher Labs Ltd,DECIPHER,"Pharmaceuticals","7.2013","6.3","3.07","-6.51","2.92",,"0.24","0.26","0","6.46","0.06","0.8381000000000003","-9.82"
Kuberan Global Edu Solutions Ltd,KGES,"Education Services","7.17275508","0","0","-0.18","4.440892098500626e-16",,"0","0","0","0.13","0","1.56","-0.18"
Setubandhan Infrastructure Ltd,SETUINFRA,"Construction & Engineering","7.1636608200000005","55.65","0.23","2.75","124.55999999999997",,"0","0.42","0","-23.08","0","26.590000000000003","2.52"
Arcee Industries Ltd,ARCEEIN,"Plastic Products","7.158316361","0","0.27","0.23000000000000004","1.94",,"-0.06","0","0","-1.62","0","1.4099999999999997","0.02"
Axis Nifty500 Value 50 ETF,AXISVALUE,"Equity","7.157455936",,,,,,,,,,,,
Mystic Electronics Ltd,MYSTICELE,"Electronic Equipments","7.1553817760000005","27.86","0.09","1.07","0.04",,"0","19.99","0","-19.009999999999998","0","0","0.98"
Kotak Nifty Chemicals ETF,CHEMICAL,"Equity","7.14550928",,,,,,,,,,,,
Nippon India BSE Sensex Next 30 ETF,SNXT30BEES,"Equity","7.139387048000001",,,,,,,,,,,,
Mirae Asset Nifty India New Age Consumption ETF,CONSUMER,"Equity","7.125245995",,,,,,,,,,,,
Flora Corporation Ltd,FLORACORP,"Consumer Finance","7.118108125","0","0","0.32","9.78",,"0","0","0","-3.91","0","0.04","0.32"
BCL Enterprises Ltd,BCLENTERPR,"Diversified Financials","7.1126","0","0","-0.26","1.409999999999998","11.7","0","1.61","0","1.85","0","0.19","-0.26"
Nihar Info Global Ltd,NIHARINF,"IT Services & Consulting","7.098084136","0.81","-0.2","-0.25","8.07",,"-0.01","0","0","-5.23","0","5.02","-0.04"
