Name,Ticker,"Sub-Sector","Market Cap","PB Premium vs Sector","PB Ratio","Dividend Yield vs Sector","PS Ratio","PS Premium vs Sector","EV/EBITDA Ratio","PE Ratio","Forward PS Ratio","Forward PE Ratio","Dividend Yield","PE Premium vs Sector","EV / EBIT Ratio","PS Premium vs Sub-sector","EV / Revenue Ratio","PE Premium vs Sub-sector","EV / Invested Capital","Price / Free Cash Flow"
Shyam Dhani Industries Ltd,SHYAMDHANI,"FMCG - Foods","128.0672","-33.74603449324021","5.426576271186439",,"1.0265907815631263","-76.27319686456461","11.990897875257021","15.928756218905459",,,,"-48.361027652054155","12.997563150074289","-71.93777867544543","1.402382364729459","-74.39932578080074","2.469959056896795",
Cubex Tubings Ltd,CUBEXTUB,"Metals - Copper","127.98299855","-50.331568648544774","1.6873170540540543",,"0.4320392888971407","-79.96095128792584","10.771978295070896","17.155897928954413",,,,"-28.06779489196718","11.799777999260353",,"0.5385443694089053",,"1.4595882758462946",
Garware Offshore Services Ltd,GARWAOFFS,"Oil & Gas - Equipment & Services","127.83123599400001","-39.00453259198229","0.9533952565184967",,"2.697999915449557","245.84257011033915","5.899701810346614","35.118471426923165",,,,"173.6403771921367","19.59471408831618",,"2.4069488390460108",,"0.6969457678543055",
Surana Solar Ltd,SURANASOL,"Renewable Energy Equipment & Services","127.7895402","-66.54084331945101","2.277482448761362",,"4.603369603746398","24.057082288483528","31.910168918205784","103.05608080645138",,,,"153.62522906717493","67.5639889385474","15.711644257467686","4.356611678674351","290.8441670863365","2.1554008233826414","84.62883456953642"
Greenchef Appliances Ltd,GREENCHEF,"Home Electronics & Appliances","127.6460424","-81.08180202566611","1.0593911727114285",,"0.34131783090004814","-84.66028177696386","13.099690343535245","21.453116369747704",,,,"-12.513389596473903","15.500816141906812","-85.49684415724603","0.5607948082785176","-66.00404042994536","1.0204653678474116","36.05820406779665"
Tirupati Starch & Chemicals Ltd,TIRUSTA,"Commodity Chemicals","127.5366393","-39.78811006814121","2.0454954178027265",,"0.32682428132127206","-84.84108306352472","9.09177303515488","16.95965948138291",,,,"-28.890594393296205","12.509896518199213","-95.699491256642","0.6693658593649897","-73.24393981371726","1.327674287384365","5.844942222731439"
Weizmann Ltd,WEIZMANIND,"Textiles","127.51440195999999","-62.584572956859006","2.0952087078540917","-0.0768665404576232","1.0850442644656229","-51.2352658736476","8.925058492866418","-35.519332022283926",,,"0.6075334143377886","-244.84916358394727","11.421112195850641","-58.514070230157714","1.1710721746085773","-203.45862038864226","1.9130442307478455","16.49604165071151"
Vaxfab Enterprises Ltd,VEL,"Textiles","127.344625","69.32770502859495","9.482101638123599",,"2.1445709834961266","-3.6173571436890763","177.42713815789682","212.24104166666987",,,,"765.5269007963185","184.71866438356392","-18.003786461579235","2.270876136746379","518.2032180927843","6.369609116674538",
Aesthetik Engineers Ltd,AESTHETIK,"Construction & Engineering","127.343194125","-57.92092034609781","2.864219391025641",,"1.898095008570577","-48.84787689479382","14.01707051516737","22.538618429203563",,,,"-44.53153838927517","15.877155702014228","2.0127295156349714","1.9973646463705472","-32.354279572309316","2.478786424805771",
Dollex Agrotech Ltd,DOLLEX,"Sugar","127.236928","-76.5054951897859","1.9243334543254689",,"0.5358246778404785","-87.61589634881466","18.238955840978647","15.366778743961444",,,,"-50.182886112940096","21.562323065799063","-27.856299662173576","1.2558196243577866","-30.191111757488464","1.2534969651113914",
Bal Pharma Ltd,BALPHARMA,"Pharmaceuticals","127.175925536","-74.11626323864512","1.6428875537527445","1.0219261518300558","0.41658780639413","-93.09341258441371","8.355003927909898","17.614394118559648",,,"1.5022533800701052","-59.62047689529849","12.033615391437607","-92.2099579602084","0.8746918420335432","-51.49288054614646","1.1722460403705168","83.12151995816987"
